ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
31,"Industri Perabotan Rumahtangga dari Kayu, Bambu dan Rotan",0.000357135,0,0,0,0,6.23E-05,0.000135365,0,0.000157163,0,0,0,0,0,0,1.37E-08,1.26E-07,0,0,2.21E-06,0,0,0,0,0,0,0
32,"Industri Kertas, Barang Kertas, Percetakan dan Penerbitan",666.2101986,0,0,0,0,116.1292959,252.5132812,0,293.1755865,0,0,0,0,0,0,0.025537805,0.23481602,0,0,4.131681187,0,0,0,0,0,0,0
33,Industri Kimia Dasar dan Pupuk,430.9474153,0,0,0,0,75.11986461,163.3417592,0,189.644742,0,0,0,0,0,0,0.016519487,0.151894037,0,0,2.672635952,0,0,0,0,0,0,0
34,Industri Obatan-obatan dan Jamu,100.6214535,0,0,0,0,17.53965726,38.13849357,0,44.27994904,0,0,0,0,0,0,0.003857118,0.035465577,0,0,0.624030925,0,0,0,0,0,0,0
35,"Industri Bahan Pembersih, Kosmetik dan Barang Kimia Lainnya",374.8024709,0,0,0,0,65.33305425,142.0611722,0,164.9373343,0,0,0,0,0,0,0.014367286,0.132104889,0,0,2.324438024,0,0,0,0,0,0,0
36,Industri Pengilangan Migas,205.7921449,0,0,0,0,35.87230719,78.00128228,0,90.56185707,0,0,0,0,0,0,0.007888621,0.072534603,0,0,1.276275169,0,0,0,0,0,0,0
37,Industri Karet dan Barang-Barang dari Karet,27623.53049,0,0,0,0,4815.148663,10470.13141,0,12156.14047,0,0,0,0,0,0,1.058891513,9.736337714,0,0,171.3147314,0,0,0,0,0,0,0
38,Industri Plastik dan Barang dari Plastik,6421.009091,0,0,0,0,1119.267262,2433.751506,0,2825.659394,0,0,0,0,0,0,0.246136244,2.263183303,0,0,39.82160963,0,0,0,0,0,0,0
39,"Industri Keramik, Kapur, Bahan Bukan Logam",1462.574848,0,0,0,0,254.9462432,554.3589316,0,643.6275515,0,0,0,0,0,0,0.056064814,0.515506975,0,0,9.070550102,0,0,0,0,0,0,0
40,Industri Kaca dan Barang dari Kaca,534.2966175,0,0,0,0,93.13500473,202.5141499,0,235.1250769,0,0,0,0,0,0,0.020481167,0.188321051,0,0,3.313583742,0,0,0,0,0,0,0
41,Industri Logam Dasar Besi dan Baja,3659.190076,0,0,0,0,637.8454849,1386.94078,0,1610.280357,0,0,0,0,0,0,0.140267563,1.28973776,0,0,22.69344845,0,0,0,0,0,0,0
42,Industri Barang dari Logam,1215.751427,0,0,0,0,211.9216389,460.8055873,0,535.0092782,0,0,0,0,0,0,0.046603343,0.428510268,0,0,7.539808468,0,0,0,0,0,0,0
43,Industri Mesin dan Perlengkapan,59.26959765,0,0,0,0,10.33147895,22.46492265,0,26.08245729,0,0,0,0,0,0,0.002271979,0.02089048,0,0,0.367576303,0,0,0,0,0,0,0
44,Industri Barang Elektronika untuk Komunikasi dan Rumahtangga,19.29223943,0,0,0,0,3.362893853,7.312326784,0,8.48983342,0,0,0,0,0,0,0.000739529,0.006799846,0,0,0.119645996,0,0,0,0,0,0,0
45,Industri Aki Baterai dan Perlengkapan Listrik Lainnya,58.47649217,0,0,0,0,10.19323012,22.16431232,0,25.73343957,0,0,0,0,0,0,0.002241577,0.020610938,0,0,0.362657646,0,0,0,0,0,0,0
46,"Industri Kapal, Kereta Api, Pesawat Terbang, Perlengkapannya dan Perbaikannya",5.147923095,0,0,0,0,0.897351445,1.951214429,0,2.265419196,0,0,0,0,0,0,0.000197335,0.001814465,0,0,0.031926225,0,0,0,0,0,0,0
47,Industri Kendaraan Bermotor dan Perlengkapannya dan Industri Alat Angkutan Lainnya,19.67553788,0,0,0,0,3.429707869,7.457608184,0,8.658509537,0,0,0,0,0,0,0.000754221,0.006934946,0,0,0.122023124,0,0,0,0,0,0,0
48,Industri Barang-Barang Lainnya,38.21612563,0,0,0,0,6.661578839,14.48503685,0,16.81756759,0,0,0,0,0,0,0.001464937,0.013469861,0,0,0.23700755,0,0,0,0,0,0,0
