ID_LC1,CARBON_t1
1,18975
2,187534
3,0
4,0
5,0
6,3142
7,654003
8,289765
9,6542
10,0
11,0
12,88765
13,74456
14,75884
15,7648
16,4532
17,0
18,0
19,121
20,0
21,0
22,0
23,0
