"ID_SKT","name_SKT","Ec_TOT","HCOAL","BCOAL","COKE","CRUDE","DIESEL","GASOLINE","JETFUEL","LFO","HFO","NAPHTA","OTHPETRO"
1,"Tanaman Pangan ",16163.0079518075,0,0,0,0,2836.12453800687,6166.91169352509,0,7159.9717202755,0,0,0
2,"Tanaman Hortikultura",5961.71126427158,0,0,0,0,1046.10204087797,2274.65995306556,0,2640.94927032805,0,0,0
3,"Perkebunan",2850.19017068937,0,0,0,0,500.123139528257,1087.47524871625,0,1262.59178244487,0,0,0
4,"Peternakan ",5851.20749973567,0,0,0,0,1026.71193483602,2232.49781593571,0,2591.99774896395,0,0,0
5,"Jasa Pertanian, dan Perburuan  ",567.316760286805,0,0,0,0,99.5471257249516,216.456761846376,0,251.312872715477,0,0,0
6,"Kehutanan dan Penebangan Kayu",328.030627826419,0,0,0,0,57.5595653711393,125.15838144786,0,145.312681007419,0,0,0
7,"Perikanan ",3880.53669720809,0,0,0,0,680.918142242038,1480.59861175096,0,1719.0199432151,0,0,0
8,"Pertambangan Minyak, Gas dan Panas Bumi",10804.171171757,9299.60335872447,1.11069937780263,0,0,33.922102747511,73.7607285171649,0,1324.09171295065,64.3918612958523,0,7.29070814359585
9,"Pertambangan Bijih Logam",723.514585924021,622.759355288051,0.0743793473503667,0,0,2.27163525390964,4.93947773523398,0,88.6694270380689,4.31208004035807,0,0.488231221048749
10,"Pertambangan dan Penggalian Lainnya",4889.41897910362,4208.52802472664,0.502646110615404,0,0,15.3514203309137,33.3803583996425,0,599.216640356309,29.1404850695777,0,3.29940410992264
11,"Industri Batubara dan Pengilangan Migas",32563.5274176586,28028.7940769385,3.34762279002011,0,0,102.240450037554,222.313166575327,0,3990.78245917415,194.075612783961,0,21.9740293590258
12,"Industri Makanan dan Minuman ",16368.9336324669,7805.16210738387,5.1991293576689,0,0,409.641643002937,890.730926951296,0,5140.64395494672,602.520231099716,0,1515.03563972473
13,"Pengolahan Tembakau",308.221993441227,146.968805536493,0.097898009165427,0,0,7.71342633783263,16.7721898132777,0,96.7967469928877,11.3452709191683,0,28.5276558324029
14,"Industri Tekstil dan Pakaian Jadi",106932.700009298,52855.2797555505,35.2076526948032,0,0,2341.25034603473,5090.84983458925,0,43312.8154655007,2703.92121922308,0,593.37573570453
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",2115.57214938606,11.9568051821888,0.00796459771897831,0,0,280.950146688627,610.902208916121,0,1126.03293617874,70.2956923126756,0,15.4263955099903
16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",1220.59461980083,6.1906847224027,1.25192260502794,0,0,216.748013684671,471.300128901583,0,467.127494305319,21.2231813808941,0,36.7531942009348
17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",10294.0603568335,7171.13481768544,4.85929026621596,0,0,174.959421418951,380.434387572158,0,2279.72944823431,103.575816375389,0,179.367175281071
18,"Industri Kimia, Farmasi dan Obat Tradisional",17640.9345881997,7409.46870607951,4.93555236366197,0,0,102.151723046534,222.120237326484,0,6155.84364249458,2314.68409564367,0,1431.73063124526
19,"Industri Karet, Barang dari Karet dan Plastik",6174.82940617784,225.907549898393,0.150480227946512,0,0,673.04777230742,1463.485161554,0,1930.43321160269,87.7061074106269,0,1794.09912317677
20,"Industri Barang Galian bukan Logam",59500.263906351,45006.6220930144,293.663516390928,0,0,299.882794809762,652.069643094002,0,8733.82457876558,2802.80755234271,0,1711.39372793357
21,"Industri Logam Dasar ",59547.5052915618,41375.2066650765,23.8780780182332,0,0,358.74219957481,780.054414286144,0,6842.66124162436,8322.67021148839,0,1844.29248149331
22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",15875.9660589717,7039.82019862798,4.68932424025927,0,0,387.331807921274,842.220087248376,0,3754.62011358485,179.312048052497,0,3667.9724792965
23,"Industri Mesin dan Perlengkapan YTDL",3051.3083986684,1576.76747191714,1.05030721310751,0,0,207.042116077677,450.195479618918,0,400.958615965692,19.355805457748,0,395.93860241812
24,"Industri Alat Angkutan",4392.86530314055,1335.45487482742,0.889565463101679,0,0,356.895091320694,776.038034713638,0,1711.20567011495,77.7458590360629,0,134.636207664692
25,"Industri Furnitur",863.158262976418,4.37781765128186,0.885312227013712,0,0,153.275982017827,333.285592123642,0,330.334863051336,15.0082296598646,0,25.990466245452
26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",1023.63353481791,201.493421420335,0.134217630399206,0,0,113.819460783404,247.490741046957,0,233.286107723988,10.598976591545,0,216.810609621276
27,"Ketenagalistrikan ",378364.740009758,215007.003305741,0,0,0,99.1384764437879,215.568188730996,0,110356.177448249,52314.1025647582,0,372.750025835315
28,"Pengadaan Gas dan Produksi Es",91344.7297592776,51906.9419967846,0,0,0,23.9339885087356,52.0424232549311,0,26642.1633422216,12629.6587817716,0,89.9892267361181
29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",9112.4909744052,5178.2028552844,0,0,0,2.38763916475674,5.19171837769401,0,2657.80492902455,1259.9265656815,0,8.97726687229366
30,"Konstruksi",40781.4806234234,0,0,0,0,1429.87328771526,3109.13790362964,0,4103.36221898694,1497.92122143919,0,30641.1859916524
31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",0,0,0,0,0,0,0,0,0,0,0,0
