F_type,Em_F
HCOAL,0.0946
BCOAL,0.101200012
COKE,0.05
CRUDE,0.05
DIESEL,0.074066667
GASOLINE,0.0693
JETFUEL,0.0715
LFO,0.074066667
HFO,0.077366667
NAPHTA,0.05
OTHPETRO,0.073333333
