"","V1","V2"
"1","y2015","-0.00361389513062479"
"2","y2016","0.0012427847770946"
"3","y2017","0.00131955678931328"
"4","y2018","0.00136806890616632"
"5","y2019","0.00140011315618391"
"6","y2020","0.0014243689085555"
"7","y2021","0.00144197472789038"
"8","y2022","0.00144990343681013"
"9","y2023","0.0014766854497239"
"10","y2024","0.00151332790294151"
"11","y2025","0.00154777314475251"
"12","y2026","0.00158141879924856"
"13","y2027","0.00161455709519346"
"14","y2028","0.00164874926651484"
"15","y2029","0.00168467834685961"
"16","y2030","0.00172328635109941"
