,iotables_row,agriculture_group,industry_group,construction,trade_group,business_services_group,other_services_group,total,fi0l_consumption_households,fi0l_consumption_government,inventory_change,gross_capital_formation,exports,total_fi0l_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic,"Manufacture of food products, beverages and tobacco products",C10-C12,"1,642",0,147,0,"5,101",179,11,15,0,0,39,179,1,1,0,0,10,0,0,0,0,10,0,0,0,0,0,0,8,4,4,498,22,8,0,"3,064",0,0,1,0,2,0,0,15,1,0,0,0,0,2,0,0,253,67,0,0,"20,034",0,0,0,60,"4,844","36,219"
Domestic,"Manufacture of textiles, wearing apparel and leather products",C13-C15,2,0,1,2,4,"1,721",3,2,0,0,4,0,52,0,0,8,7,1,1,2,0,19,0,0,0,0,10,34,38,22,4,3,1,3,0,3,0,0,1,0,0,0,0,2,2,0,0,0,0,2,8,15,2,44,0,0,"1,956",0,0,15,197,"10,491","14,681"
Domestic,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C16,2,0,1,0,1,1,108,2,0,0,0,1,0,1,0,11,3,0,1,1,3,198,0,0,0,0,226,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,0,74,"3,999","4,705"
Domestic,Manufacture of paper and paper products,C17,5,3,0,4,212,43,2,"2,396",47,0,18,37,25,31,1,5,77,16,1,2,0,6,0,1,0,0,17,7,265,154,2,3,0,1,0,3,0,0,2,0,43,1,0,12,13,0,0,0,0,15,65,359,1,5,0,0,477,0,0,0,214,"2,889","7,481"
Domestic,Printing and reproduction of recorded media,C18,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,20,12,1,0,3,0,0,1,0,0,2,0,7,0,0,1,1,0,0,0,0,1,8,92,0,1,0,0,50,0,0,0,1,2,210
Domestic,Manufacture of coke and refined petroleum products ,C19,30,26,63,94,62,157,68,115,2,201,75,8,72,99,138,91,18,18,2,14,3,11,0,288,0,0,927,7,174,101,270,413,256,55,0,16,1,1,9,0,7,6,0,9,13,0,0,0,0,15,90,45,2,3,0,0,730,0,0,0,"1,068","8,555","14,425"
Domestic,Manufacture of chemicals and chemical products ,C20,189,1,0,35,50,387,49,74,3,1,434,178,456,58,95,118,64,159,2,9,1,31,0,1,2,0,52,20,8,5,3,2,0,1,0,2,0,6,0,0,0,0,0,0,6,0,0,0,0,6,17,75,72,9,0,0,747,0,0,0,872,"3,014","7,314"
Domestic,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C21,1,0,0,0,4,7,3,10,0,0,1,69,8,0,1,1,32,3,0,1,0,0,0,0,0,0,0,40,40,23,7,10,1,3,0,11,0,1,1,0,2,1,0,1,4,0,0,0,0,5,2,12,7,126,0,0,"2,078",0,0,0,42,253,"2,811"
Domestic,Manufacture of rubber and plastic products,C22,5,0,2,0,41,50,5,9,1,0,10,12,244,6,2,12,201,92,5,80,11,17,0,0,0,0,195,741,110,64,54,1,49,10,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,9,7,3,46,0,0,"1,580",0,0,0,19,"2,549","6,249"
Domestic,Manufacture of other non-metallic mineral products,C23,0,0,0,0,3,0,4,0,0,0,11,4,2,64,0,17,75,44,2,14,0,6,0,0,0,0,"1,785",17,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,4,0,3,0,0,194,0,0,5,38,870,"3,188"
Domestic,Manufacture of basic metals,C24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,583","1,492",106,186,156,308,36,274,0,0,0,0,"1,928",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,"1,687","8,188"
Domestic,"Manufacture of fabricated metal products, except machinery and equipment",C25,25,10,2,4,24,25,4,16,0,5,4,2,36,3,18,425,225,137,28,141,22,69,0,1,0,0,"2,804",183,4,2,1,1,0,2,0,2,0,0,1,0,0,0,0,0,6,0,0,0,0,7,31,11,0,9,0,0,175,0,0,914,81,"1,009","6,470"
Domestic,"Manufacture of computer, electronic and optical products",C26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,924","5,924"
Domestic,Manufacture of electrical equipment,C27,0,1,0,6,1,3,2,1,0,1,1,1,2,0,1,2,290,289,17,55,3,3,0,46,0,0,54,56,15,9,5,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,23,8,0,2,0,0,659,0,0,678,32,"1,808","4,086"
Domestic,Manufacture of machinery and equipment n.e.c.,C28,1,2,0,13,2,1,2,0,0,0,0,0,2,1,1,1,5,7,152,1,0,0,0,1,0,0,30,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,4,0,0,0,0,0,39,0,0,284,1,"2,641","3,211"
Domestic,"Manufacture of motor vehicles, trailers and semi-trailers",C29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,908,0,0,99,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"2,461",0,0,"1,448",51,422,"5,965"
Domestic,Manufacture of other transport equipment,C30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,93,3,359,513
Domestic,Manufacture of furniture; other manufacturing,C31_C32,0,2,0,0,1,2,1,1,0,0,0,0,0,0,1,4,2,2,1,0,0,69,0,0,0,0,4,6,22,13,3,3,1,0,0,1,0,0,0,0,2,0,0,2,3,0,0,0,0,3,7,116,0,6,0,0,916,0,0,44,11,"2,256","3,504"
Domestic,Repair and installation of machinery and equipment,C33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,"Electricity, gas, steam and air conditioning supply",D35,8,5,2,12,48,456,55,128,2,4,63,14,79,206,369,140,146,32,4,96,7,34,0,725,12,0,18,324,544,316,21,21,1,27,0,55,2,1,32,2,56,8,0,9,26,0,0,0,0,30,140,76,10,105,0,0,"1,202",0,0,0,0,0,"5,671"
Domestic,"Water collection, treatment and supply",E36,1,0,0,0,4,1,0,1,0,0,1,0,1,3,2,1,1,2,0,1,0,0,0,0,1,0,4,2,27,16,1,4,0,3,0,8,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,8,1,6,0,0,162,0,0,0,0,0,267
Domestic,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",E37-E39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Construction,F,71,32,3,105,2,6,1,1,0,5,2,0,1,5,1,5,5,1,1,0,1,0,0,22,0,0,7,3,86,50,21,7,1,87,0,5,1,0,23,1,8,2,0,153,2,0,0,0,0,2,139,46,1,4,0,0,0,0,0,"24,927",0,0,"25,844"
Domestic,Wholesale and retail trade and repair of motor vehicles and motorcycles,G45,155,95,4,198,140,52,81,20,1,38,14,3,10,27,15,49,216,43,5,5,0,8,0,126,6,0,9,105,549,319,"1,385",58,11,375,0,23,3,3,51,3,275,45,0,142,196,0,0,0,0,223,899,164,13,40,0,0,"4,799",0,0,"1,678",0,2,"12,678"
