 -    , -    , -    ,"9,687.70","2,675,501.06", -    
"2,242,094.71", -    , -    ,"215,981.38","2,795,472.83", -    
"2,370,517.16", -    , -    ,871.12,"1,632,978.22", -    
"1,207,943.22", -    , -    ,"64,674.69","169,761.45","12,649.06"
"4,108,099.36", -    , -    ,860.19,"2,536,216.53", -    
"8,014,256.11", -    , -    ,"141,261.87","449,679.82","23,918.08"
"1,646,936.39", -    , -    ,"5,266.40","890,776.18", -    
"5,491,296.66", -    ,249.97,"1,158.72","52,850.79","19,157.25"
"494,668.89", -    , -    ,410.31,"280,523.18", -    
"63,741.43", -    , -    ,114.39,"250,679.34", -    
"11,714.40", -    , -    ,"8,056.29",199.26, -    
 -    , -    ,"3,363.46",373.37,196.57, -    
409.55, -    , -    ,-357.2,1.31, -    
600.95, -    ,61.63,-0.41,-0.02, -    
 -    , -    , -    ,"2,428.19","1,342,253.27", -    
"432,086.70", -    ,"7,156.05","4,715.45",886.2,"4,031.44"
"1,393.71", -    ,"1,379.91",12.11,164.93,54.23
 -    , -    , -    ,42.24,148.74,18.48
"20,202.70", -    ,455.94,99.9,"9,748.05","8,894.47"
"755,214.87", -    ,"4,131.55",937.74,"1,179,201.95","26,315.01"
"783,740.32", -    , -    ,530.17,"362,173.55","77,119.81"
"60,388.27", -    ,"36,426.81","5,042.27","109,844.21","132,278.53"
"25,124,231.19", -    , -    ,190.67,"94,599.61","10,367.62"
"22,542.94", -    , -    ,"52,314.99","5,233.35", -    
"41,806.34", -    , -    ,"19,136.11","32,355.26","6,854.87"
"388,177.07", -    , -    ,"18,341.80","110,249.23","72,166.64"
"3,740,707.46", -    , -    ,"-91,317.77","66,007.93", -    
 -    , -    , -    , -    , -    , -    
"60,902.50", -    , -    ,"47,508.84","500,864.45", -    
 -    , -    ,520.87,0.2,0.62,0.07
 -    , -    , -    ,208.27,30.04,357.25
"6,377,117.45", -    , -    ,"-216,716.61","6,189.35","22,754.59"
"11,916,692.61", -    , -    ,"1,014.60","141,079.77","144,906.72"
"28,507,860.03", -    , -    ,"2,136,896.94","25,092,751.16","30,245.92"
"2,186,968.70", -    , -    ,"132,535.63","12,018.53",279.67
"5,184,967.74", -    , -    ,417.61,"1,136,670.32","38,112.15"
"1,855,365.23", -    , -    ,"66,056.37",115.38,"41,904.36"
"9,348,198.40", -    , -    ,"151,685.87","222,994.74","13,975.82"
"714,961.79", -    , -    ,"6,337.48","584,029.02","17,364.06"
"759,886.76", -    , -    ,0.67,323.85,226.21
"9,021,385.01", -    , -    ,"1,239.81","23,623,076.16","1,653,292.94"
"3,647,574.03", -    , -    ,"-59,602.92","134,242.20","13,860.26"
"21,153,387.12", -    , -    ,"232,466.08","42,841,264.66","17,285.79"
"167,002.11", -    , -    ,"-1,386.96",590.16, -    
"10,130.47", -    , -    ,0.2,534.18,30.17
"2,546,712.17", -    ,"2,246.26","220,548.45","23,420,015.55","8,531,536.70"
"184,018.20", -    ,"12,639.54","22,234.23","253,009.07","270,633.36"
"4,445,992.42", -    , -    ,"-48,305.74","16,344.13","88,838.57"
"1,051,085.15", -    , -    ,22.29,"8,194,161.70","901,739.24"
 -    , -    ,"120,953.54","885,795.33","2,675,111.90","1,626,912.25"
"2,826,359.39", -    ,"40,834.91","367,804.39","6,606,514.53","5,388,476.99"
"52,443.95", -    , -    ,"16,769.00","27,911.35","3,953.79"
"212,329.09", -    , -    ,"30,199.89","131,665.36","3,197.42"
"6,766,436.33", -    , -    ,"228,193.61","659,967.03","143,089.04"
"61,073.60", -    , -    ,"31,510.14","22,023.72","1,895.27"
"17,879,497.18", -    , -    ,"1,175,325.06","25,766,885.00","31,060,156.32"
"199,052.95", -    , -    ,"17,525.28","1,644,102.95","2,298.66"
"1,043,126.94", -    , -    ,"102,438.12","2,878,528.91","20,008.92"
"149,383.01", -    ,"3,265.43",141.04,"1,477,563.69","102,226.64"
 -    , -    , -    ,83.71,"862,246.47","17,278.22"
"17,551.08", -    , -    ,"4,225.08","11,101.44","2,227.75"
 -    , -    , -    ,869.35,"2,583.25",927.03
"68,888.36", -    ,"64,769.09","18,602.07","79,889.29","6,386.48"
"1,072,080.55", -    ,"1,869,649.34","7,190.17","33,041.43","11,161.71"
"1,707,437.81", -    ,"443,716.87","12,976.89",68.72,"1,133.81"
"777,824.71", -    ,"19,607.35","8,042.61","4,024.38","9,567.24"
"11,722,331.07", -    , -    , -    ,"34,215.81", -    
"331,190.66", -    , -    , -    ,84.57, -    
 -    , -    ,"30,081,058.59", -    , -    , -    
 -    , -    ,"71,083,384.16", -    , -    , -    
"62,829,648.44", -    ,"3,675,464.64","1,617,325.42","30,432,237.03","4,997,780.08"
"364,358.83", -    , -    , -    ,"70,846.13","16,041.94"
"22,337,080.71", -    , -    , -    ,"8,486,333.47","6,651,783.89"
"929,188.68", -    ,"3,175.32","2,314.32","29,937.41","4,824.73"
"26,390,092.25", -    ,"988,728.18","352,107.73","5,795,354.56","951,750.86"
"1,708,045.64", -    ,"116,991.58","87,331.04","1,082,864.04","178,955.73"
"205,775.97", -    ,"2,097.00","1,680.30","22,509.81","4,877.51"
"177,103.30", -    ,"20,959.24","7,104.65","131,498.06","21,595.47"
"3,477,278.81", -    , -    , -    , -    , -    
"174,431.47", -    , -    , -    ,48.34, -    
"1,615,740.63", -    , -    , -    ,"4,499.89", -    
"5,756,942.43", -    ,149.81, -    ,507.27, -    
"13,102,990.35","69,644,723.06", -    , -    , -    , -    
"6,561,104.65", -    , -    , -    ,852.72,928.58
"337,189.12", -    , -    , -    ,322.9, -    
"150,368.18", -    , -    , -    ,39.08,67.33
"5,037,350.24", -    ,"3,732.80", -    ,35.3,"1,581.83"
 -    , -    , -    , -    , -    , -    
