" 3,965,077.71 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 31,817.82 "," 10,647.02 ", -    , -    , -    , -    ," 4,094.20 ", -    , -    , -    , -    , -    ," 42,451,259.94 ", -    , -    , -    , -    , -    ," 2,588.23 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,776.98 ", -    , 75.85 , -    , -    , -    , -    ," 6,386.38 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,427.45 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 3,616.34 ", -    , -    ," 1,622.71 ", -    , -    
 -    ," 621,009.47 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 11,510.84 "," 158,581.03 ", -    , -    , -    ," 27,262.50 "," 1,900.20 ", -    , -    , -    ," 2,149.39 "," 338,906.82 ", -    ," 763,390.72 "," 8,893.34 "," 547,089.53 "," 21,565.17 "," 6,052.65 "," 1,671,204.93 "," 4,673.05 "," 1,004.28 "," 85,342.06 ", 53.21 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 3,024.36 "," 73,828.67 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 21,095.56 ", -    ," 1,887.74 ", 647.18 , 0.13 , -    
 -    , -    ," 225,970.26 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 3,781.33 "," 20,719.41 ", -    , -    , -    ," 1,009.91 ", 86.08 , -    , -    , -    , -    , -    , -    ," 455,638.64 ", 595.09 , -    ," 58,220.64 "," 16,413.83 "," 213,905.24 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 8,545.72 "," 18,302.75 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 8,723.78 ", -    , 242.06 ," 1,956.97 ", -    , -    
 -    , -    , -    ," 166,444.50 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 8,631.99 ", -    , -    , -    , -    , 98.24 , -    , -    , -    , -    ," 56,397.79 ", -    , -    ," 8,943.74 ", 390.72 , -    ," 42,204.29 "," 11,154.92 "," 97,016.27 ", -    , 70.25 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 7.55 , 0.23 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 22,824.21 "," 101,231.22 ", -    , -    ," 3,208.47 ", -    , -    , -    , -    , -    , -    ," 102,559.93 ", -    ," 1,011.84 ", 308.29 , -    , -    
 -    , -    , -    , -    ," 1,011,168.37 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    ," 756,028.77 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 7,903.90 "," 6,845.23 ", -    , -    , -    , 167.99 , -    , -    , -    , -    ," 433,129.27 ", -    , -    , 496.99 ," 10,256.08 ", -    ," 10,669.05 "," 2,994.93 "," 5,721.79 ", -    ," 1,249.96 ", -    , -    , -    , -    , -    , -    , 0.07 , -    , 0.02 , -    , -    ," 5,235.16 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 69,147.06 "," 260,326.10 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 309,141.03 ", -    ," 63,393.12 "," 2,656.77 ", -    , -    
 -    , -    , -    , -    , -    , -    ," 98,524.95 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    ," 11,056.33 ", -    ," 195,561.13 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 5,615.15 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 468,178.60 ", -    , -    , -    ," 84,147.91 ", -    ," 46,056.77 "," 8,446.19 ", 0.05 , 74.19 ," 271,769.72 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 31,171.63 ", 16.23 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 12,941.17 "," 42,635.44 "," 967,749.39 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 386,134.19 ", 306.82 ," 84,598.92 "," 17,239.77 ", -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    ," 138,477.85 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,027.11 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , 28.37 ," 2,436.72 ", -    , -    ," 13,773.60 ", -    ," 97,222.79 "," 22,124.97 "," 77,370.39 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 2,917.92 "," 12,731.11 ", -    , -    , 199.08 , -    , -    , -    , -    , -    , -    ," 18,360.37 ", -    , 316.52 , 65.81 , -    , -    
 -    , -    , -    , -    , -    ," 4,294.20 ", -    , -    , -    ," 149,933.87 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 2,204.97 "," 4,359.87 ", -    , -    , -    , -    , -    , -    , -    , -    ," 34,499.92 ", -    , -    ," 2,687.33 ", -    , -    ," 1,046,635.80 "," 28,411.23 "," 79,002.08 ", -    , 191.98 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 3,208.90 "," 6,362.37 ", -    , -    , 101.48 , -    , -    , -    , -    , -    , -    ," 4,894.85 ", -    , 96.04 , 106.56 , -    , -    
