Logged over forest-high density
Logged over forest-low density
Logged over swamp forest
Undisturbed mangrove
Logged over mangrove
Acacia plantation
Mixed garden
Rubber agroforest
Coconut agroforest
Rubber monoculture
Oil palm monoculture
Sagoo monoculture
Rice field
Annual crop
Shrub
Grass
Mining
Cleared land
Settlement
Swamp
Waterbody
