"17,927","9,452","26,232","33,968","303,704","78,651","7,716","7,677","350,086","380,154","41,730",0,"28,292",609,"183,416","7,908",13,0,"5,539",0,0,"52,498",163,"1,643","46,965","24,364","388,035","106,786","313,617","354,098","153,958","23,274","112,532","19,073","1,367","1,765","36,408","2,043","1,069",515,"5,628","4,113","563,674","158,973","110,249","26,737"
"84,834","11,325","13,414","19,624","346,608","50,740","11,636","73,391","394,046","771,731","301,345",0,"69,533","1,210","499,189","25,649",80,0,"11,379",0,0,"39,632","1,767","1,924","19,619","30,897","409,343","139,996","541,834","148,348","51,047","8,834","49,401","15,204","19,967","13,900","275,701","94,025","12,386","1,700","170,700","17,272","2,248,104","828,306","260,630","36,962"
"476,350","54,613","19,505","113,842","555,095","84,802","24,631","99,012","1,152,115","1,344,750","119,544",0,"203,242","1,263","474,147","29,126",101,0,"12,875",0,0,"54,371","3,364","2,599","16,707","40,446","515,674","326,095","1,354,508","190,923","80,201","18,559","67,290","25,642","43,422","22,801","453,328","231,813","28,965","4,129","369,738","37,411","2,655","169,293","62,549","46,936"
"6,007",488,955,987,"18,325","3,297",694,"10,249","52,850","297,735","70,934",0,"21,958",205,"82,714","4,838",10,0,"2,023",0,0,"8,268",146,264,"8,816","6,472","33,721","23,442","97,996","56,663","36,811","6,362","39,998","4,844","7,453",881,"250,733","13,275","3,214",441,"43,032","4,354","151,059","79,195","37,788","9,543"
550,277,792,368,"5,813","1,814",220,"1,054","36,685","109,990",157,0,"10,753",112,679,"2,017",7,0,849,0,0,"3,470",4,111,4,613,"25,143","29,589","123,691","7,147","1,816",367,"1,509",300,"5,050",728,"13,736","4,514","1,854",254,"27,706","2,803",0,"2,588","1,248","2,342"
