" 6,138 ", 119 ," 7,380 ", 315 ," 31,420 "," 11,819 "," 2,670 "," 30,892 "," 4,521 "," 167,396 "," 160,409 "," 375,128 "," 41,898 "," 1,030,273 "," 4,044,136 "," 8,578 "," 14,603 "," 21,885 "," 5,094 "," 35,782 "," 16,272 "," 343,444 "," 120,679 "," 86,488 "," 1,042,375 "," 58,152 "," 44,126 "," 15,749 "," 296,495 "," 49,021 "," 15,185 "," 85,747 "," 234,514 "," 2,323 "," 27,426 "," 22,455 ", - ," 364,673 "," 391,996 "," 6,395 "
" 18,260 "," 1,382 "," 13,379 "," 2,298 "," 50,245 "," 20,947 "," 154,085 "," 141,932 "," 8,951 "," 325,697 "," 301,984 "," 195,630 "," 25,065 "," 2,020,974 "," 3,840,046 "," 49,528 "," 56,892 "," 180,072 "," 7,292 "," 27,561 "," 50,582 "," 15,383 "," 2,510,884 "," 193,575 "," 649,979 "," 153,353 "," 80,862 "," 13,716 "," 136,559 "," 32,640 "," 20,859 "," 76,605 "," 205,370 "," 232,744 "," 29,999 "," 16,643 "," 3,317,945 "," 960,378 "," 188,503 "," 80,738 "
" 68,597 "," 7,218 "," 69,050 "," 10,515 "," 191,231 "," 128,617 "," 314,238 "," 244,637 "," 24,992 "," 1,078,511 "," 1,112,082 "," 857,826 "," 144,489 "," 10,133,020 "," 10,699,814 "," 205,140 "," 136,091 "," 500,040 "," 15,754 "," 48,029 "," 104,580 "," 52,484 "," 3,719,111 "," 391,746 "," 1,622,740 "," 299,428 "," 179,208 "," 14,078 "," 196,029 "," 56,905 "," 58,198 "," 129,054 "," 533,170 "," 524,049 "," 496,710 "," 36,989 "," 1,315,773 "," 206,073 "," 193,856 "," 59,289 "
 581 , 84 , 566 , 104 ," 1,658 "," 1,026 "," 5,264 "," 2,667 ", 238 ," 15,948 "," 10,036 "," 6,718 ", 944 ," 108,105 "," 117,077 "," 1,783 "," 1,363 "," 5,544 ", 192 , 763 ," 1,388 ", 473 ," 52,092 "," 4,672 "," 16,960 "," 3,486 "," 2,043 ", 226 ," 2,642 ", 715 , 568 ," 1,640 "," 5,918 "," 4,339 "," 23,879 ", 435 , - ," 3,621 "," 2,124 ", 879 
