"85,702 ","19,105 ","27,312 ","33,603 ","16,277 ",72 ,"35,871 ","22,450 ","65,287 ","171,366 ","4,515 ","5,367 ","86,685 ","2,402 ",0 ,"12,043 ","71,901 ",0 ,"3,253,886 ",0 ,"4,028 ",425 ,"7,083 ","76,816 ","35,052 ",740 ,"56,829 ","98,053 ","283,671 ",0 ,"12,193 ","10,485 ","16,636 ","13,967 ",104 ,"15,226 ","7,975,108 ","259,760 ","445,637 ",0 ,"1,080,984 ","700,255 ","2,860 ","392,996 ","18,181 ","180,241 ","53,826 ","178,534 ","171,130 ","2,795 ","22,495 ",51 ,"75,317 ","3,019 ","1,060,810 ","260,792 ","470,362 ","149,049 "
"314,364 ","56,472 ","70,117 ","175,151 ","181,564 ",242 ,"274,266 ","331,445 ","417,857 ","577,799 ","56,706 ","91,983 ","1,312,311 ","16,171 ",0 ,"125,185 ","919,458 ",0 ,"1,855,718 ",0 ,"6,199 ",816 ,"22,636 ","52,004 ","37,602 ",702 ,"95,553 ","40,432 ","108,088 ",0 ,"14,689 ","24,129 ","13,577 ","17,373 ",411 ,"53,990 ","3,375,479 ","1,561,513 ","1,676,191 ",0 ,"1,927,974 ","440,709 ","10,946 ","763,688 ","100,478 ","260,293 ","223,968 ","674,077 ","564,009 ","45,294 ","224,358 ",355 ,"144,799 ","26,256 ","5,983,987 ","1,830,787 ","1,786,811 ","466,859 "
"1,465,806 ","359,025 ","540,199 ","516,083 ","851,123 ",441 ,"1,105,070 ","1,112,707 ","836,299 ","971,077 ","116,777 ","301,462 ","5,036,465 ","155,760 ",0 ,"562,442 ","1,559,031 ",0 ,"3,894,681 ",0 ,"12,547 ",771 ,"46,007 ","98,503 ","59,394 ","1,019 ","132,107 ","62,471 ","201,647 ",0 ,"23,288 ","54,172 ","19,674 ","100,757 ","1,950 ","34,842 ","4,645,425 ","1,763,698 ","3,608,888 ",0 ,"728,914 ","461,460 ","5,636 ","248,955 ","100,599 ","676,914 ","284,340 ","1,708,922 ","1,466,634 ","57,246 ","470,861 ",680 ,"2,384,011 ","31,648 ",0 ,"251,373 ","587,561 ","596,929 "
"32,853 ","1,541 ","3,155 ","8,182 ","3,821 ",30 ,"15,555 ","90,629 ","59,456 ","55,361 ","5,029 ","21,933 ","183,270 ","6,704 ",0 ,"65,598 ","261,394 ",0 ,"479,220 ",0 ,"2,409 ",103 ,"10,985 ","20,622 ","14,074 ",183 ,"51,884 ","19,876 ","60,173 ",0 ,"5,295 ","2,950 ","2,751 ","30,389 ",29 ,"11,274 ","858,566 ","445,753 ","446,560 ",0 ,"1,956,147 ","393,925 ","7,667 ","559,532 ","61,659 ","73,294 ","74,687 ","621,799 ","88,452 ","5,077 ","50,199 ",72 ,"265,484 ","6,579 ","806,717 ","202,251 ","448,631 ","99,689 "
"10,830 ",915 ,"7,103 ","8,402 ","15,253 ",24 ,"24,700 ","13,863 ","19,942 ","31,948 ","4,282 ","19,686 ","87,077 ","8,478 ",0 ,"40,909 ","117,435 ",0 ,"312,664 ",0 ,564 ,93 ,"2,660 ","5,282 ","(10,304)",118 ,"21,543 ","6,625 ","16,685 ",0 ,"1,450 ","2,574 ","2,186 ","(94,317)","1,047 ","11,752 ","356,248 ","169,795 ","234,527 ",0 ,"99,392 ","5,859 ",244 ,"64,183 ","4,035 ","62,389 ","27,264 ","39,803 ","4,688 ","4,416 ","20,852 ",33 ,"73,440 ","3,316 ",0 ,"24,673 ","34,012 ","34,596 "
