"","V1","V2"
"1","y2015","-0.00361389513062479"
"2","y2016","0.00190961561244198"
"3","y2017","0.00196414888583315"
"4","y2018","0.00199107322464396"
"5","y2019","0.00200173923718927"
"6","y2020","0.00200117713096892"
"7","y2021","0.00199295254589556"
"8","y2022","0.00197914739943414"
"9","y2023","0.0019630659218744"
"10","y2024","0.00194559480171557"
"11","y2025","0.00192797702355828"
"12","y2026","0.00191153202546739"
"13","y2027","0.0018963747676332"
"14","y2028","0.00188416522869493"
"15","y2029","0.00187548184763642"
"16","y2030","0.00187119311181311"
