"","V1","V2"
"1","y2015","-0.00361389513072425"
"2","y2016","0.00195991188731357"
"3","y2017","0.00200942526459332"
"4","y2018","0.00203543390033083"
"5","y2019","0.00204515960591217"
"6","y2020","0.00204367235059984"
"7","y2021","0.00203461530747301"
"8","y2022","0.0020206565006308"
"9","y2023","0.00200381561560165"
"10","y2024","0.00198565685425258"
"11","y2025","0.00196743214261725"
"12","y2026","0.00195020064959108"
"13","y2027","0.00193489225214572"
"14","y2028","0.00192237018397495"
"15","y2029","0.00191349281567784"
"16","y2030","0.00190914201441112"
