ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
46,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",89.22468,1.48068,0,0,0,0,0,0,0,0,61.4208,26.3232,0,0,0
47,Jasa Penyediaan Akomodasi,19.1986,0.3186,0,0,0,0,0,0,0,0,13.216,5.664,0,0,0
48,Jasa Penyediaan Makan Minum,405.96904,6.73704,0,0,0,0,0,0,0,0,279.4624,119.7696,0,0,0
49,Informasi dan Komunikasi,233.41504,2.50884,0,0,0,0,0,115.4531,0,0,80.8404,34.6127,0,0,0
50,Jasa Keuangan Perbankan,197.2227,1.6362,0,0.303,0,0.6666,0.6969,0,0,0,135.744,58.176,0,0,0
51,Jasa Asuransi dan Dana Pensiun,20.56844,0.17064,0,0.0316,0,0.06952,0.07268,0,0,0,14.1568,6.0672,0,0,0
52,Jasa Lembaga Keuangan Lainnya,92.62307,0.76842,0,0.1423,0,0.31306,0.32729,0,0,0,63.7504,27.3216,0,0,0
53,Jasa Real Estat,620.66796,0,0,0,0,0,10.29996,0,0,0,427.2576,183.1104,0,0,0
54,Jasa Perusahaan dan Jasa Persewaan,86.42624,0,0,0,0,0,1.43424,0,0,0,59.4944,25.4976,0,0,0
55,"Jasa Agen Perjalanan, Penyelenggaraan Tur dan Jasa Reservasi Lainnya",34.8178,0,0,0,0,0,0.5778,0,0,0,23.968,10.272,0,0,0
56,Jasa Pemerintahan Umum,4169.79558,34.59348,0,6.4062,0,14.09364,14.73426,0,0,0,2869.9776,1229.9904,0,0,0
57,Jasa Pendidikan,1428.0746,11.8476,0,2.194,0,4.8268,5.0462,0,0,0,982.912,421.248,0,0,0
58,Jasa Kesehatan dan Kegiatan Sosial,511.47722,4.24332,0,0.7858,0,1.72876,1.80734,0,0,0,352.0384,150.8736,0,0,0
59,"Jasa Kesenian, Hiburan, dan Rekreasi",49.74255,0.13914,0,0.02319,0,0.05411,0.05411,0,0,0,34.6304,14.8416,0,0,0
60,Jasa Perorangan yang Melayani Rumah Tangga,218.24677,1.81062,0,0.3353,0,0.73766,0.77119,0,0,0,150.2144,64.3776,0,0,0
