" 2,453 ", - , - ," (6,709)"," 160,839 ",
" 41,557 ", - , - , (336), - ,
" 168,056 ", - , - ," (1,864)", - ,
" 9,728 ", - , - ," 2,816 ", - ,
" 187,003 ", - , - , (690)," 2,512 ",
" 846,208 ", - , - , (460)," 3,769 ",
 - , - , - ," (18,176)"," 1,171,960 ",
" 47,596 ", - ," 90,290 "," (27,265)"," 267,344 ",
 - , - ," 12,768,269 "," (40,897)"," 408,747 ",
" 179,521 ", - ," 96,551 "," (4,544)", - ,
" 287,062 ", - ," 137,689 "," 67,714 "," 318,314 ",
" 1,708,289 ", - , 7 , 179 ," 35,368 ",
" 280,591 ", - ," 193,037 "," (13,674)"," 2,434,851 ",
 488 , - , - ," (3,419)"," 99,748 ",
" 2,885,150 ", - , - ," 44,504 "," 1,349,928 ",
" 167,561 ", - , - ," 22,252 "," 584,997 ",
 - , - , - , - ," 667,415 ",
 - , - ," 469,083 ", 614 ," 11,243,138 ",
 - , - , - ," 6,973 "," 3,422,476 ",
 - , - , - ," 170,073 "," 10,968 ",
" 695,983 ", - , - , - ," 17,379,978 ",
" 9,173,068 ", - , - ," 841,646 "," 577,218 ",
" 895,617 ", - ," 9,204 "," (41,487)"," 57,777 ",
" 372,074 ", - ," 785,104 "," 433,930 "," 857,297 ",
 - , - ," 502,755 ", - ," 85,829 ",
 - , - ," 281,584 ", - ," 128,744 ",
" 83,651 ", - ," 17,549 "," 16,562 "," 60,525 ",
,,,,,
" 1,242,012 ", - ," 32,410 "," 4,187 "," 460,874 ",
" 29,773 ", - ," 15,742 "," 1,049 "," 1,083,188 ",
 - , - ," 15,742 "," 1,138 "," 428,149 ",
,,,,,
" 110,409 ", - ," 309,319 "," 48,125 "," 335,832 ",
 - , - ," 1,415,647 "," 65,218 "," 198,568 ",
 - , - ," 734,797 "," 2,616 "," 170,479 ",
" 3,681,920 ", - ," 88,505 ", 6 ," 40,903 ",
" 911,170 ", - , - , - , - ,
" 4,009 ", - , - , - , - ,
" 143,698 ", - , - ," 11,123 "," 52,536 ",
 - , - ," 21,986,331 ", - ," 1,302,154 ",
" 808,281 ", - , - , - ," 1,094,611 ",
" 4,750,799 ", - , - ," 57,330 "," 2,236,870 ",
" 670,514 ", - , - ," 7,073 "," 1,147,359 ",
, - , - ," 3,501 "," 2,125,189 ",
 - , - , - , 140 ," 1,877,675 ",
 - , - , - , 425 ," 476,546 ",
 - , - , - , 886 ," 158,950 ",
" 271,284 ", - , - , - ," 10,464 ",
" 3,081,760 ", - , - , - ," 79,899 ",
" 1,240,710 "," 40,277 ", - , - , 972 ,
" 42,081 ", - , - , - ," 1,714,678 ",
" 162,015 ", - , - , - ," 1,009,876 ",
" 5,120,097 ", - , - , - , - ,
 - , - , - , - , 418 ,
 - ," 9,884,537 ", - , - ," 28,210 ",
" 2,169,799 "," 3,245,089 ", - , - ," 19,846 ",
" 1,132,827 "," 550,439 ", - , - ," 275,660 ",
" 472,129 "," 92,231 ", - , - ," 154,084 ",
