0 ,0 ,0 ,"70,755 ","422,647 "
"186,640 ",0 ,0 ,"129,874 ","2,241,955 "
253 ,0 ,0 ,"1,172 ",0 
"75,175 ",0 ,0 ,"(23,791)","7,339 "
"5,912 ",0 ,0 ,10 ,10 
"15,748 ",0 ,0 ,118 ,5 
"188,296 ",0 ,0 ,"17,259 ","165,511 "
"59,597 ",0 ,"1,793 ","1,125 ",7 
"73,893 ",0 ,"4,673 ","1,966 ",129 
0 ,0 ,0 ,"4,811 ",0 
"61,785 ",0 ,"118,903 ","1,718 ","10,368 "
4 ,0 ,"59,687 ","(24,442)","37,760 "
0 ,0 ,"53,658 ","(8,595)","47,174 "
"31,027 ",0 ,"18,668 ","(23,549)",25 
0 ,0 ,"121,881 ","36,142 ","176,570 "
187 ,0 ,"1,565 ",(873),"8,852 "
0 ,0 ,"27,334 ","32,014 ","25,856 "
"60,334 ",0 ,"19,532 ","(13,622)","4,855 "
0 ,0 ,0 ,0 ,97 
"27,795 ",0 ,0 ,"(4,103)","14,720 "
"625,405 ",0 ,0 ,"88,948 ","366,845 "
"13,373 ",0 ,36 ,"2,755 ","32,226 "
"9,150 ",0 ,0 ,"(2,630)","15,860 "
"21,467 ",0 ,"21,837 ","8,555 ","127,869 "
"20,671 ",0 ,"22,802 ","(13,859)","172,491 "
"342,680 ",0 ,"5,182 ","29,811 ","15,848 "
0 ,0 ,"49,631 ","14,765 ","31,929 "
0 ,0 ,0 ,0 ,0 
"258,352 ",0 ,0 ,291 ,8 
0 ,0 ,0 ,"7,338 ","64,031 "
"835,008 ","127,757 ",0 ,"202,151 ","251,480 "
"58,489 ",0 ,0 ,"177,994 ","409,374 "
"607,215 ",0 ,0 ,"(92,445)","32,316 "
"6,974 ",0 ,9 ,"(3,390)","3,436 "
"32,953 ",0 ,"3,023 ","(4,492)","1,405 "
"26,322 ",0 ,"11,832 ","(11,847)","1,081 "
"14,612 ",0 ,"3,936 ","(6,108)",134 
"35,000 ",0 ,"167,830 ","5,153 ",37 
"61,304 ",0 ,"37,368 ","(10,115)",382 
"91,519 ","2,387 ",0 ,(380),0 
0 ,0 ,"4,280,554 ","92,016 ","5,428 "
"330,758 ",0 ,"37,617 ","2,701 ","65,255 "
"1,062,610 ","21,384 ","253,269 ","18,184 ","438,071 "
"653,956 ","2,120 ","53,420 ","(1,646)","106,462 "
"74,000 ",410 ,"10,326 ",(318),"23,665 "
"265,441 ",178 ,"4,481 ",(138),"199,351 "
"34,402 ",111 ,"2,784 ",(86),"11,342 "
"122,537 ",0 ,0 ,0 ,"48,919 "
"723,357 ",0 ,0 ,0 ,"8,513 "
"335,232 ","7,877 ","66,335 ","4,137 ","17,385 "
"296,099 ","20,634 ",0 ,0 ,"3,993 "
"408,013 ",0 ,"1,176 ",0 ,"46,179 "
"32,368 ","3,012,045 ","20,761 ",0 ,"1,343 "
"740,122 ","1,861,410 ",0 ,0 ,"9,457 "
"299,635 ","138,070 ",0 ,0 ,"1,432 "
