"65,473 ","126,136 ","2,606 ","2,184 ",424 ,"1,147 ","5,497 ","5,599 ","3,369 ","5,910 ","20,902 ","4,954 ","8,089 ","7,010 ","27,195 ","1,724 ","12,655 ","4,958 ","8,151 ","16,110 ","149,727 ","8,670 ","3,725 ","11,061 ","17,619 ","30,087 ","43,014 ",0 ,"53,888 ","1,794 ","32,736 ","267,298 ","77,210 ","4,749 ","16,331 ","55,728 ","22,266 ","34,789 ","20,485 ","227,156 ","917,016 ","49,969 ","221,334 ","271,747 ","63,971 ","199,721 ","12,103 ","29,373 ","102,568 ","69,771 ","47,903 ","23,610 ","239,594 ","341,651 ","50,317 "
"218,036 ","605,232 ","5,202 ","5,597 ",524 ,"1,540 ","56,418 ","5,757 ","8,603 ","13,930 ","101,103 ","19,555 ","14,493 ","9,495 ","42,984 ","1,117 ","26,991 ","9,431 ","26,163 ","51,129 ","272,272 ","14,068 ","6,140 ","18,828 ","30,307 ","51,736 ","72,831 ",0 ,"26,668 ","9,289 ","57,791 ","60,745 ","52,816 ","1,111 ","3,412 ","46,207 ","21,636 ","31,071 ","12,964 ","13,993 ","910,764 ","137,638 ","496,252 ","260,873 ","39,524 ","100,715 ","20,611 ","33,115 ","132,159 ","156,463 ","251,074 ","41,417 ","1,833,981 ","1,142,890 ","200,838 "
"1,393,041 ","1,901,917 ","22,017 ","72,792 ","5,058 ","12,815 ","357,445 ","58,339 ","83,984 ","71,996 ","281,273 ","47,807 ","65,649 ","50,024 ","280,767 ","7,369 ","123,540 ","58,559 ","64,337 ","128,893 ","692,097 ","36,241 ","44,904 ","139,688 ","154,425 ","329,187 ","227,777 ",0 ,"34,938 ","16,149 ","129,072 ","113,860 ","97,561 ","2,581 ","11,878 ","66,133 ","40,970 ","68,324 ","26,468 ","42,393 ","1,624,500 ","284,873 ","1,341,340 ","600,421 ","72,738 ","185,729 ","36,661 ","86,512 ","222,650 ","409,510 ","589,774 ","371,442 ","282,542 ","595,376 ","179,402 "
"9,379 ","10,300 ",146 ,276 ,17 ,163 ,"1,861 ",522 ,"1,041 ",196 ,"8,178 ",409 ,210 ,"1,029 ",632 ,10 ,723 ,198 ,714 ,"2,170 ","2,333 ",126 ,433 ,"1,146 ","3,319 ","2,371 ","5,393 ",0 ,165 ,92 ,920 ,"1,193 ","1,039 ",29 ,156 ,791 ,652 ,"2,323 ","1,080 ","(33,847)","73,595 ","2,674 ","12,898 ","8,302 ","1,102 ","2,559 ",576 ,"4,710 ","10,442 ","5,332 ","6,330 ","22,424 ",0 ,"18,451 ","7,121 "
