ID,Count
1,13910
2,166914
3,0
4,0
5,0
6,1126
7,463449
8,171552
9,3472
10,0
11,0
12,880200
13,741849
14,872027
15,71220
16,311244
17,0
18,11527
19,1663
20,30486
21,21
22,0
23,421
