  369 351 , - , - , - , - , - ,  1 605 ,   212 ,  4 579 , - , - , - , - , - , - , - , - , - , - , 5 034 234 ,   127 , - , - , - , - , - ,   54 , - , - ,  1 084 , - , - , - , - ,   98 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - ,  7 693 , - , - , - , - ,   536 ,  2 377 ,  1 174 , - , - , - ,  9 560 , - , - , - , - , - ,  51 318 , - ,  82 966 ,   61 , - , - , - , - , - , - , - , - , - , - , - , - , - ,   423 ,  2 432 , - , - , - , - , - , - , - , - ,   58 , - ,   308 , - , - 
   46 , - ,  13 986 ,   101 ,   136 , - ,   64 ,   415 ,  1 972 , - , - , - ,   490 , - , - , - , - ,   103 ,   560 , - ,  189 303 ,   185 , - , - , - , - ,   300 , - , - , - , - , - , - , - ,   3 ,  1 001 ,  28 303 ,   11 ,   4 ,  2 400 , - , - , - , - , - ,   635 , - ,  1 577 ,   114 , - 
 - , - , - ,  21 841 , - , - , - ,   84 ,  1 425 , - , - , - ,   52 , - , - , - , - ,   4 , - , - ,  20 211 ,  1 291 , - , - , - , - ,   211 , - , - , - , - , - , - , - ,   767 ,  8 837 ,  79 388 , - , - , - , - , - , - , - , - ,  3 276 ,   534 ,  19 789 , - , - 
 - , - , - , - ,  195 866 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,  1 114 , - , - , - ,   295 , - , 1 467 986 , - ,   2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - ,  52 979 , - , - , - , - , - , - , - , - , - , - , - , - , 3 167 157 , - ,   825 , - , - , - , - , - ,  5 543 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
  159 171 ,  6 440 ,  2 545 ,  2 092 ,  6 645 ,  38 921 ,  44 747 ,  1 533 ,  4 633 ,  2 106 ,  3 391 , - ,  1 405 , - , - , - , - , - ,  468 759 , - ,  163 112 ,  7 714 ,  4 676 ,   13 , - , - ,  5 062 , - , - ,   9 ,   8 , - , - , - ,   142 ,   177 ,  17 378 , - , - ,   285 , - , - , - , - , - ,   49 , - ,   316 , - ,   688 
 - ,   77 ,   60 ,  6 963 , - , - ,   490 ,  3 452 ,   334 , - , - , - ,   37 , - , - , - , - , - , - , - ,  82 535 , - , - , - , - , - ,   89 , - , - , - ,   2 , - , - , - , - ,  15 247 ,  157 935 , - , - ,   483 , - , - , - ,   4 , - ,   358 , - ,  4 308 , - , - 
  31 547 ,  1 482 ,   963 ,  4 276 ,   353 ,  4 775 ,  2 183 , - ,   299 , - , - , - , - , - , - , - , - , - , - , - ,  86 796 ,   18 ,   9 , - , - , - ,   15 , - , - , - , - , - , - , - , - ,   172 ,   804 ,   134 , - ,   229 , - , - , - , - , - ,   39 , - ,   181 , - , - 
   86 ,   7 ,   44 ,   2 ,   274 ,   36 ,   195 , - ,   74 ,  2 754 ,   11 ,   20 ,   48 , - ,  3 125 ,   2 ,   412 ,   55 , - , - ,   972 ,   1 ,   6 ,  120 223 ,  9 167 ,   987 ,   120 , - ,   1 ,   730 ,   8 , - , - ,  122 542 ,   86 ,   75 ,   142 ,   68 , - , - , - , - , - ,   70 , - , - ,   15 ,   4 ,   45 , - 
 - , - ,   6 , - ,   183 , - , - , - , - ,   908 ,   54 ,  1 521 ,   512 , - , - , - , - , - , - , - ,   307 , - ,   75 ,  11 422 ,  110 038 ,   39 ,  1 663 , - , - , - ,   16 , - , - ,   780 , - ,   60 ,  2 059 , - , - , - , - , - , - ,   6 , - , - , - , - ,  1 445 , - 
 - , - , - , - , - , - ,   30 , - , - , - , - ,  38 033 , - , - , - , - , - ,  28 442 ,   69 , - ,  1 961 , - , - , - , - , - ,   25 , - , - , - ,   20 , - , - , - , - ,  4 457 ,  93 709 , - ,   51 ,   988 , - , - , - ,   799 , - ,   271 , - ,  2 897 , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - ,  34 377 , - , - , - , - ,  1 794 ,   36 , - ,   598 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,   490 ,  114 842 , - , - ,   259 , - , - , - ,   6 , - ,   54 , - ,   129 , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ,  76 533 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ,   1 , 1 440 951 ,   941 , - , - , - , - ,  1 017 , - ,   133 ,  1 079 ,   29 ,   105 ,   163 , - ,   60 ,  119 780 ,   63 ,  173 843 , - , - , - ,   173 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ,   245 , - ,  64 266 ,  5 087 , - , - , - ,   535 , - , - , - , - , - ,  36 850 , - ,  21 371 ,  97 045 ,  5 362 ,  35 933 , - ,   76 , - , - , - , - , - , - , - , - , - , - , - , - ,  3 155 , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,   122 , - , - ,  130 379 ,   24 , - , - ,  704 912 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - ,   83 , - , - , - , - , - , - , - , - , - ,  2 956 , - , - ,  15 675 , - , - , - , - , - ,   81 , - , - , - , - , - , - , - , - ,  2 586 ,  15 235 , - , - ,  5 791 , - , - , - , - , - ,   106 , - ,   245 , - , - 
 - , - , - , - , - , - , - ,   11 ,  3 791 , - , - , - ,   3 , - , - , - , - ,   151 , 4 005 086 , - ,  76 203 ,   3 , - ,   223 , - , - ,  3 343 , - , - , - , - , - , - , - ,   809 ,  2 116 ,  48 181 , - ,   47 ,  2 518 , - , - , - , - , - ,   61 , - ,   181 ,   4 , - 
 - , - , - , - , - , - ,   40 ,  3 814 ,  1 071 , - , - , - ,  9 510 , - , - , - , - , - , - ,  269 357 ,  70 655 ,   80 , - , - , - , - ,   363 , - , - ,   41 , - , - , - , - , - ,  19 441 ,  314 461 , - ,   748 ,  22 650 , - , - , - , - , - ,  3 157 , - ,  31 066 , - , - 
 - , - ,   572 , - , - , - ,  1 355 ,  131 435 ,  26 816 , - , - ,  18 919 ,  66 415 , - , - , - , - ,   431 ,   406 , - ,  168 254 ,  1 920 ,  1 077 ,  3 097 ,   61 ,   229 ,   826 , - ,   18 , - ,   6 , - , - , - ,  1 412 ,  23 118 ,  129 324 ,   739 ,   837 ,  33 363 ,   205 ,   112 ,   48 ,   506 , - ,  8 548 , - ,  5 738 ,   38 , - 
 - , - , - , - , - , - ,   5 , - , - , - , - , - , - , - , - , - , - , - , - , - ,   472 ,  2 818 , - , - , - , - ,   9 , - , - , - , - , - , - , - ,   297 ,  3 239 ,  22 580 ,   204 ,   321 ,  5 176 ,  1 116 ,   292 , - ,  1 442 , - ,   191 , - ,   15 , - , - 
   210 ,   1 ,   54 ,   308 ,   256 ,   121 ,   134 , - ,   2 ,   51 ,   52 ,   13 ,   7 ,   1 ,  5 026 ,   29 ,   19 ,   14 ,   75 ,   447 ,   36 , - ,  5 389 ,   157 ,   385 ,   39 ,   126 , - ,  6 477 ,   161 ,   29 ,   13 ,   23 ,   990 ,  7 239 ,   299 ,  3 987 ,  1 025 ,   41 ,  1 580 ,   71 ,   314 ,   132 ,   778 , - ,   48 ,   293 ,   126 ,   749 ,   2 
 - , - , - , - , - , - ,   50 , - ,   1 , - , - , - ,   22 , - , - , - ,   151 ,   13 , - , - ,   68 , - ,   49 ,  118 806 ,  106 682 ,   90 ,   136 , - ,   845 ,   836 ,   367 , - , - ,  609 749 , - , - , - , - , - , - , - ,   32 , - , - , - ,   3 ,   324 , - ,   244 , - 
 - ,   5 ,   7 ,   313 ,   13 , - ,   293 ,   22 , - , - , - ,   314 ,   76 , - , - , - ,   118 ,   25 ,   180 ,   60 ,   293 ,   30 ,   8 ,  1 348 ,  5 205 ,   40 ,   23 , - ,   235 ,   119 ,   10 , - , - ,  35 410 ,  9 980 ,   12 ,   95 ,   127 ,   431 , - ,   17 ,   171 ,   15 ,   52 , - ,   7 ,   44 ,   3 ,   77 ,   4 
 - , - ,   13 ,   129 ,   107 ,   717 ,   90 ,   34 ,   9 ,   118 ,   491 ,   62 ,   26 ,   8 ,  7 351 ,   125 ,   100 ,   35 ,   14 ,   45 ,  1 265 ,  1 944 ,   140 ,   975 ,   235 ,  13 545 ,   541 , - ,  2 684 ,  3 355 ,   85 ,   568 ,   219 ,  5 240 ,  53 558 ,   337 ,   262 ,  4 577 ,   281 ,  1 817 ,   967 ,   800 ,  2 582 ,  12 019 , - ,   201 ,  12 074 ,   103 ,   167 ,   3 
  42 101 ,  1 852 ,  1 068 ,  4 678 ,  13 770 ,  25 884 ,  7 313 ,   941 ,   144 ,   34 ,   80 ,   209 ,  2 558 ,   3 ,  34 734 ,  1 633 ,  1 739 ,   15 ,  3 229 ,   58 ,  2 807 ,   221 ,  1 631 ,  10 026 ,  1 445 ,  1 452 ,  10 089 , - ,  43 847 ,  8 695 ,   523 ,   79 ,  4 128 ,  10 500 ,  4 212 ,   351 ,  1 644 ,  1 575 ,   135 ,  2 159 ,   64 ,   126 ,   22 ,  1 990 , - ,   191 ,  1 797 ,  3 729 ,   809 ,   2 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,    , - , - , - , - , - , - , - , - , - 
  1 073 , - ,   21 ,   250 ,   253 ,  1 518 ,  1 034 ,   396 ,   268 , - ,   19 ,  3 371 ,  3 730 , - , - , - ,   410 ,   351 ,   601 ,  6 252 ,  10 028 ,  2 166 ,  1 484 ,  4 639 ,  1 989 ,   828 ,  1 486 , - ,  264 914 ,   779 ,  2 151 ,   7 ,   3 ,  188 978 ,  130 204 ,   126 ,  1 044 ,  157 700 ,   412 ,  2 224 ,  31 112 ,  7 299 ,   570 ,  14 891 , - ,  1 585 ,  1 920 ,  1 563 ,  88 453 ,  1 293 
 - , - ,   1 , - ,   51 ,   33 ,   10 ,   3 ,   7 ,   1 ,   3 , - ,   6 , - , - , - , - , - ,   28 , - ,  2 324 ,   68 ,   5 ,  1 308 ,  2 107 ,   6 ,   934 , - ,  2 581 ,  52 055 ,   388 ,   1 ,   269 ,  840 085 ,  7 070 ,   73 ,   311 ,  1 176 , - ,   250 ,   25 ,   18 ,   40 ,   799 , - ,   32 ,   189 ,   69 ,  1 047 , - 
   105 ,   3 ,   11 ,   61 ,   68 ,   984 ,   115 ,   1 ,   1 ,   145 ,   258 ,   183 ,   198 ,   24 ,  22 396 ,   644 ,   154 ,   19 ,   65 ,   152 ,   124 ,   8 ,   40 ,   801 ,   128 ,   36 ,   47 , - ,  1 148 ,   875 ,   555 ,   537 ,   78 ,  18 755 ,   724 ,   31 ,   59 ,  2 078 ,   825 ,  7 739 ,  2 656 ,   240 ,   276 ,  2 191 , - ,   66 ,   200 ,   51 ,  3 568 ,    
 - , - , - , - , - ,   380 ,   451 ,  1 930 ,   631 , - ,  1 637 , - ,  7 114 ,   2 ,  72 167 ,  1 212 ,   317 ,   428 ,  10 261 ,  3 388 ,  12 276 ,   600 ,  5 014 ,  21 141 ,  5 712 ,  3 744 ,  3 970 , - ,  41 176 ,  88 063 ,  1 532 ,  190 180 ,  20 127 ,  1 700 ,  229 185 ,  3 220 ,  11 741 ,  34 521 ,  3 284 ,  42 136 ,  1 938 ,  23 553 ,  18 269 ,  34 704 , - ,  1 444 ,  3 827 ,  1 111 ,  11 596 ,   40 
 - , - , - , - ,   20 ,   35 ,   69 ,   99 ,   272 , - , - ,   230 ,   347 ,   2 ,   65 ,   50 ,   21 ,   16 ,   39 ,   197 ,   911 ,   147 ,   52 ,   334 ,   201 ,   59 ,   183 , - ,   858 ,  2 282 ,   23 ,   432 ,  72 180 ,  3 242 ,  24 403 ,   353 ,  2 651 ,  2 564 ,  3 522 ,  10 252 ,  1 675 ,  4 164 ,  1 063 ,  1 955 , - ,   257 ,   774 ,   523 ,   630 , - 
  45 493 ,  2 374 ,   452 ,  1 074 ,  21 685 ,  155 358 ,  29 776 ,   75 ,   447 ,  3 298 ,  19 125 ,  2 947 ,  9 912 ,   35 ,  828 673 ,  13 728 ,  38 033 ,   90 ,  1 925 ,   25 ,  1 743 ,   24 ,   463 ,   117 ,   399 ,   51 ,   836 , - ,  1 709 ,  11 199 ,   198 ,  14 448 ,  2 137 ,  12 123 ,  238 064 ,   785 ,  1 151 ,  39 136 ,  1 020 ,  44 516 ,   816 ,  90 128 ,  27 164 ,  186 087 , - ,  2 715 ,  9 123 ,  1 562 ,  1 496 , - 
  104 341 ,  7 075 ,  3 810 ,  21 576 ,  36 100 ,  58 571 ,  20 460 ,  66 389 ,  15 539 ,  3 790 ,  4 471 ,  28 773 ,  46 956 ,   260 ,  716 951 ,  10 742 ,  8 284 ,  10 510 ,  333 631 ,  253 651 ,  221 570 ,  12 765 ,  12 932 ,  114 701 ,  38 449 ,  15 939 ,  19 081 , - ,  206 519 ,  85 675 ,  6 884 ,  84 844 ,  7 364 ,  784 197 ,  124 329 ,  32 973 ,  273 961 ,  266 480 ,  26 405 ,  348 418 ,  71 539 ,  6 569 ,  5 797 ,  45 060 , - ,  8 078 ,  16 936 ,  22 572 ,  42 806 ,   167 
 - , - , - , - , - ,  1 155 ,   49 ,   14 ,   8 ,   134 ,   80 ,   35 ,   5 ,   30 ,  28 493 ,   514 ,   414 , - ,  3 807 ,   2 ,   993 ,   517 ,   373 ,   822 ,   65 ,   222 ,   717 , - , - ,  3 979 ,   122 ,   455 ,   693 ,  23 592 ,  81 211 ,   824 ,  1 194 ,  9 515 ,   362 ,  34 144 ,  8 395 ,  2 969 ,  1 327 ,  19 493 , - ,   286 ,   987 ,   279 ,  2 366 , - 
 - ,   886 ,   118 ,   419 ,  1 270 ,   817 ,  1 446 ,   29 ,   48 ,   237 ,  1 858 ,  3 236 ,  2 185 ,   3 ,   969 ,   76 ,  8 775 ,   53 ,  3 750 ,   252 ,  4 644 ,  1 914 ,  1 147 ,  22 913 ,   503 ,  1 177 ,  3 354 , - , - ,  14 547 ,   464 ,  1 094 ,   185 ,  102 302 ,  212 485 ,  8 172 ,  1 782 ,  21 279 ,   493 ,  52 335 ,  69 570 ,  3 096 ,  1 890 ,  40 814 , - ,  1 512 ,  3 133 ,   396 ,  6 387 , - 
  80 891 ,  6 437 ,  4 568 ,  15 491 ,  23 467 ,  57 014 ,  14 860 ,  30 449 ,  3 379 ,  1 744 ,  5 982 ,  1 186 ,  24 857 ,   34 , 1 193 198 ,  4 143 ,  11 481 ,  1 236 ,  55 569 ,  100 388 ,  41 303 ,  4 249 ,  3 193 ,  54 180 ,  13 293 ,  7 986 ,  5 975 , - ,  34 032 ,  36 587 ,  1 817 ,  43 133 ,  1 638 ,  241 392 ,  483 091 ,  9 787 ,  131 790 ,  105 154 ,   617 ,  4 736 ,   186 ,  6 061 ,  4 379 ,  48 094 , - ,  1 667 ,  7 263 ,  2 306 ,  4 869 ,   138 
  1 279 ,   87 ,   66 ,   985 ,  1 008 ,   261 ,   279 ,  1 762 ,   369 ,  1 132 ,   81 ,   192 ,  2 980 ,   57 ,  16 880 ,   132 ,   7 ,   83 ,  2 461 ,  3 107 ,  5 101 ,   164 ,   139 ,  6 477 ,   795 ,   113 ,   518 , - ,  2 334 ,  4 341 ,   110 ,  1 631 ,   885 ,  8 875 ,  37 662 ,   357 ,  22 394 ,  67 228 ,  19 487 ,   305 , - ,  2 085 ,   379 ,  2 813 , - ,   145 ,   823 ,   983 , - , - 
 - , - , - , - ,  8 097 ,   475 ,  3 083 ,  7 206 ,  6 937 ,  2 658 ,  6 492 ,  18 249 , - ,   11 , 1 488 977 ,  5 078 ,   70 ,  5 404 ,  176 572 ,  48 083 ,  104 859 ,  7 360 ,  7 681 ,  107 816 ,  24 847 ,  6 965 ,  10 373 , - ,  139 329 ,  64 066 ,  3 894 ,  2 969 ,  3 215 ,  240 048 ,  46 743 ,  5 576 , - ,  80 786 ,  2 224 ,  293 180 , - ,  13 600 ,  7 495 ,  10 964 , - ,  3 092 ,  5 810 ,  9 889 ,  27 141 , - 
 - , - , - , - ,  1 399 ,  2 993 ,   823 ,   294 , - ,   452 , - ,   225 , - ,   143 ,  379 413 ,  2 850 , - , - ,   822 , - ,  2 264 ,   639 , - ,  1 232 ,   228 , - ,   556 , - ,  3 151 ,  1 561 ,   132 ,  5 319 ,   759 ,  33 542 ,  77 177 ,  4 945 ,  6 526 ,  7 820 ,   14 ,  5 147 ,  99 087 ,  6 687 ,  3 515 ,  52 192 , - ,  1 256 ,  2 040 ,   807 ,   449 , - 
  1 386 ,   52 ,   21 ,   198 ,   656 ,   901 ,   440 , - , - ,   401 ,   198 ,   311 , - ,   2 ,  25 948 ,   209 ,   557 ,   112 ,  4 935 , - ,  3 402 ,   923 ,   684 ,  25 463 ,  1 278 ,   351 ,   700 , - ,  12 800 ,  9 549 ,   354 ,   95 ,   120 , - ,  21 774 ,   950 ,  2 202 ,  54 099 ,  29 666 ,  651 187 ,  127 110 ,  72 905 ,  2 183 ,  5 557 , - ,   287 ,   325 ,   116 ,   266 , - 
 - , - , - , - ,   358 ,  1 847 ,   254 ,   17 ,   23 ,   64 ,   270 ,   28 ,   2 ,   3 ,  339 311 ,  1 376 ,   410 ,   167 ,  9 319 ,  3 064 ,  6 257 ,   241 ,   607 ,   452 ,  1 248 ,   853 ,  3 205 , - ,  11 951 ,  13 736 ,   384 ,  1 304 ,   402 ,  41 438 ,  235 448 ,  3 785 ,  2 847 ,  60 944 ,  6 770 ,  69 924 ,  10 021 ,  49 751 ,  85 001 ,  79 123 , - ,  1 558 ,  5 198 ,  1 944 ,  3 599 ,   47 
  132 427 ,  2 105 ,  1 144 ,  3 144 ,  10 802 ,  312 316 ,  32 268 ,   878 ,  4 111 ,  3 912 ,  6 035 ,  6 061 ,  12 517 ,   464 , 1 412 275 ,  22 063 ,  19 260 ,  1 522 ,  264 778 ,  8 335 ,  37 172 ,  8 666 ,  5 607 ,  52 744 ,  13 800 ,  6 264 ,  9 414 , - ,  36 658 ,  69 421 ,  3 737 ,  69 852 ,  15 827 ,  652 191 , 1 333 996 ,  12 881 ,  22 686 ,  157 276 ,  16 018 ,  189 488 ,  101 533 ,  85 077 ,  111 346 ,  918 255 , - ,  11 353 ,  26 747 ,  9 216 ,  47 651 ,   62 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - ,   157 , - , - , - , - ,   366 , - , - , - , - , - , - , - , - ,  5 081 ,  3 397 , - , - , - , - , - , - , - , - ,   166 , - , - ,   24 ,  5 607 ,  1 626 ,   813 ,  1 670 , - ,  3 919 ,  7 221 ,  4 564 ,  8 254 ,  30 711 , - ,  16 978 ,  2 447 ,   53 ,   898 , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ,   2 , - , - , - , - ,  2 381 , - ,   446 ,   16 ,   32 ,   34 ,   19 ,   195 ,   171 , - , - ,  1 340 ,   21 ,   114 , - ,  4 286 ,  5 722 , - , - , - , - , - ,  2 093 ,   882 ,  4 672 ,  18 050 , - ,   215 ,  11 849 ,  1 863 ,   69 , - 
 - , - , - , - , - , - ,   120 ,   34 ,   62 , - , - ,   13 , - ,   5 ,  17 436 ,   320 ,   457 ,   11 ,  3 081 , - ,  1 563 , - , - ,   21 ,   169 ,   657 ,  1 614 , - , - ,  1 715 ,   140 ,   852 ,   360 ,  20 178 ,  8 600 ,   530 ,   264 ,  2 816 ,   166 ,  1 192 ,   692 ,  2 550 ,  1 412 ,  11 483 , - ,   178 ,   381 ,   784 ,  1 244 , - 
  35 750 ,   703 ,   309 ,   106 ,  6 561 ,  81 219 ,  6 660 ,   401 , - ,  2 250 ,  4 269 ,   182 ,   12 ,   37 ,  118 116 ,  12 464 ,  13 057 ,   659 ,  20 653 , - , - ,  1 003 ,   546 , - ,  1 388 ,   421 ,  1 682 , - , - ,  10 892 ,   494 ,  1 162 ,   317 ,  20 318 ,  131 845 ,   365 ,  2 511 ,  230 380 ,  3 466 ,  35 148 ,  4 067 ,  20 563 ,  12 697 ,  72 026 , - ,   833 ,  5 727 ,  1 635 ,  3 552 , - 
   2 , - , - , - , - , - ,   124 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,   710 ,   35 , - ,   344 ,   269 ,   166 , - , - ,   597 ,   92 , - , - ,   452 ,  1 563 , - , - , - , - , - , - , - ,   23 ,   1 , - , - , - , - ,   42 ,   58 
