"F_type","Em_F"
"HCOAL",0.094600000025748
"BCOAL",0.101200012307636
"DIESEL",0.074066666704236
"GASOLINE",0.0693000000308868
"JETFUEL",0.0715000000150213
"LFO",0.0740666666941838
"HFO",0.0773666666955539
"OTHPETRO",0.073333333358376
