ID,SEKTOR,Total_Ec,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
47,Reparasi dan Perawatan Mobil dan Sepeda Motor (Jasa Perbengkelan),127.745778,2.11377803,0,0,0,0,0,0,0,0,87.9424,37.6896,0,0,0
48,Angkutan darat,678078.2151,3401.49513,0,0,0,0,0,0,0,0,472273.704,202403.016,0,0,0
49,Angkutan air,13539188.26,68.25973,0,0,0,0,0,0,0,0,9477384,4061736,0,0,0
50,Angkutan udara,16847.44491,46.924284,0,0,0,0,0,0,0,16800.52063,11760.36444,5040.156188,0,0,0
51,Jasa penunjang angkutan,73.21141125,1.21141125,0,0,0,0,0,0,0,0,50.4,21.6,0,0,0
52,Pos dan Kurir,88.42088153,0.71361972,0,0.12845155,0,0.285447888,0.299720282,0,0,0,60.89554946,26.09809263,0,0,0
53,Hotel,1210.547247,0,0,0,0,0,0,0,0,0,842.4675,361.0575,0,0,0
54,Penyediaan makanan dan minuman,149.404282,1.702141,0,0.30638538,0,0.6808564,0.71489922,0,0,0,102.2,43.8,0,0,0
55,Jasa informasi dan komunikasi,2708.624368,57.44565988,0,0,0,0,0,2651.178709,0,0,1855.825096,795.3536126,0,0,0
56,Bank,2075.689932,17.17296588,0,3.091133858,0,6.869186352,7.21264567,0,0,0,1428.9408,612.4032,0,0,0
57,Asuransi dan Dana Pensiun ,39.30639324,0.32519662,0,0.058535392,0,0.130078648,0.13658258,0,0,0,27.0592,11.5968,0,0,0
58,Keuangan lainnya,59.15482029,0.489410145,0,0.088093826,0,0.195764058,0.205552261,0,0,0,40.7232,17.4528,0,0,0
59,Real Estate,956.5640302,0,0,0,0,0,15.82803019,0,0,0,658.5152,282.2208,0,0,0
60,Jasa perusahaan,49.58852922,0,0,0,0,0,0.82052922,0,0,0,34.1376,14.6304,0,0,0
61,Jasa Pemerintahaan dan Pertahanan,24806.43397,205.2329867,0,36.94193761,0,82.09319469,86.19785443,0,0,0,17077.1776,7318.7904,0,0,0
62,Jasa Pendidikan (Jasa Pendidikan Pemerintah & Swasta),4538.717037,37.55051832,0,6.759093298,0,15.02020733,15.77121769,0,0,0,3124.5312,1339.0848,0,0,0
63,Jasa sosial & kemasyarakatan (Jasa Kemasyarakatan Pemerintah & Swasta),6446.248491,53.33224568,0,9.599804222,0,21.33289827,22.39954319,0,0,0,4437.7088,1901.8752,0,0,0
64,"Jasa hiburan, rekreasi & kebudayaan (Jasa Hiburan, Rekreasi dan Kebudayaan Pemerintah & Swasta)",211.90455,0.576275,0,0.1037295,0,0.23051,0.2420355,0,0,0,147.5264,63.2256,0,0,0
65,Jasa Perorangan dan RT,275.730444,2.281221985,0,0.410619957,0,0.912488794,0.958113234,0,0,0,189.8176,81.3504,0,0,0
66,Jasa Lainnya,289.7870349,2.397517465,0,0.431553144,0,0.959006986,1.006957335,0,0,0,199.4944,85.4976,0,0,0
