F_Type,Em_F
Padat_Ditimbun_di_TPA,10
Padat_Kompos,10
Padat_R3,10
Padat_waste_to_energy,10
Padat_dibakar_terbuka,10
Padat_tidak_terkelola,10
Cair_septic_tank,10
Cair_MCK_plus,10
Cair_IPAL_Aerob,10
Cair_IPAL_Anaerob,10
Cair_tidak_terkelola,10
Cair_Biogas,10
Cair_Pengolahan_KIMIA,10
Cair_R3,10
