ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
54,Hotel,1122.3,0,0,0,0,0,0,0,0,0,785.61,336.69,0,0,0
55,Restoran ,2396.42865,27.17358,0,4.6851,0,10.77573,11.24424,0,0,0,1639.785,702.765,0,0,0
56,Angkutan Jalan Raya ,2245.4938,1.3338,0,0,0,0,0,0,0,0,1570.912,673.248,0,0,0
57,Angkutan Laut ,347.63276,6.32076,0,0,0,0,0,0,0,0,238.9184,102.3936,0,0,0
58,Angkutan sungai dan danau ,423.28032,0,0,0,0,0,7.02432,0,0,0,291.3792,124.8768,0,0,0
59,Angkutan udara ,61061.63328,84.49488,0,0,0,0,0,0,0,30488.5692,21334.9572,9153.612,0,0,0
60,Jasa Penunjang Angkutan ,351.56216,5.83416,0,0,0,0,0,0,0,0,242.0096,103.7184,0,0,0
61,Komunikasi,798.91648,8.58708,0,0,0,0,0,395.1647,0,0,276.6948,118.4699,0,0,0
62,Bank,1780.99258,14.77548,0,2.7362,0,6.01964,6.29326,0,0,0,1225.8176,525.3504,0,0,0
63,Asuransi ,162.52973,1.34838,0,0.2497,0,0.54934,0.57431,0,0,0,111.8656,47.9424,0,0,0
64,Lembaga keuangan ,691.2558,5.7348,0,1.062,0,2.3364,2.4426,0,0,0,475.776,203.904,0,0,0
65,Jasa persewaan ,258.88824,0,0,0,0,0,4.29624,0,0,0,178.2144,76.3776,0,0,0
66,Jasa Perusahaan ,1177.2972,0,0,0,0,0,19.5372,0,0,0,810.432,347.328,0,0,0
67,Pemerintahan Umum dan Pertahanan ,13919.23614,115.47684,0,21.3846,0,47.04612,49.18458,0,0,0,9580.3008,4105.8432,0,0,0
68,Jasa sosial kemayarakatan ,3181.66429,26.39574,0,4.8881,0,10.75382,11.24263,0,0,0,2189.8688,938.5152,0,0,0
69,Jasa lainnya ,2463.1893,6.89004,0,1.14834,0,2.67946,2.67946,0,0,0,1714.8544,734.9376,0,0,0
70,Kegiatan yang tidak jelas batasannya ,25.32001,0.21006,0,0.0389,0,0.08558,0.08947,0,0,0,17.4272,7.4688,0,0,0
