ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
39,"Industri tekstil, barang dari kulit dan alas kaki",45.10890549,10.37051475,0.006907947,0,0,0.459366999,0.998854486,0,8.498227493,0.530525144,0,0.217976331,17.5585731,0,0,0.000101019,0.00092885,0,0.771292994,5.69563637,0,0,0,0,0,0,0
40,Industri penggergajian dan pengolahan kayu,316.4141796,0.337743456,0.068300792,0,0,11.82506081,25.71258941,0,25.48494415,1.157867175,0,3.754144319,145.0905101,0,0,0.00260043,0.023910536,0,55.89216089,47.06434751,0,0,0,0,0,0,0
41,Industri kayu lapis dan sejenisnya,2033.119593,2.170170878,0.438866798,0,0,75.98193873,165.2162661,0,163.7535313,7.439876562,0,24.12225766,932.2792018,0,0,0.016709065,0.15363717,0,359.1351295,302.4120068,0,0,0,0,0,0,0
42,Industri bahan dan perabot dari kayu,575.9327119,0.614755966,0.124320156,0,0,21.52381207,46.8016995,0,46.38734274,2.107533812,0,6.833241548,264.0917391,0,0,0.004733267,0.043521627,0,101.7341379,85.66587418,0,0,0,0,0,0,0
43,Industri karet dan barang dari karet dan barang plastik,9205.620165,106.1422258,0.070702844,0,0,316.2301954,687.6156754,0,907.0103146,41.2085451,0,905.2013718,4699.997122,0,0,0.069541668,0.63942449,0,16.85361322,1524.581433,0,0,0,0,0,0,0
44,Industri Kertas dan barang dari kertas,148.2781238,37.4945385,0.025406975,0,0,0.914781681,1.989114995,0,11.91964811,0.541549913,0,1.755863343,69.13472158,0,0,0.000201168,0.001849709,0,2.074580249,22.42586755,0,0,0,0,0,0,0
45,Industri Kimia,12.34355903,0.721217761,0.000480413,0,0,0.009943174,0.021620587,0,0.599193268,0.225305126,3.157792779,0.149651814,5.596260723,0,0,2.19E-06,2.01E-05,0,1.580529039,0.281542055,0,0,0,0,0,0,0
46,Industri pupuk,50.08440814,2.92636545,0.001949294,0,0,0.040344765,0.087726261,0,2.431246945,0.914183167,12.81285097,0.607217296,22.70701711,0,0,8.87E-06,8.16E-05,0,6.413050018,1.142366407,0,0,0,0,0,0,0
47,Industri barang mineral bukan logam,514.3311645,279.8260286,1.82583566,0,0,1.864503659,4.054204696,0,54.3020412,17.42629129,0,11.4262297,108.3394521,0,0,0.00041002,0.003770068,0,0.119329752,35.14306774,0,0,0,0,0,0,0
48,"Industri barang dari logam, mesin-mesin dan peralatannya",966.4972987,467.5000888,0.269799343,0,0,4.053442235,8.813865534,0,77.31549872,94.03817834,0,22.37755544,220.5692388,0,0,0.000891386,0.00819615,0,0.002464815,71.54807918,0,0,0,0,0,0,0
