0 ,0 ,0 ,"(1,341)",0 ,"531,967 ","531,967 ",0 
"210,650 ",0 ,0 ,(122),0 ,"406,371 ","406,371 ",0 
"381,076 ",0 ,0 ,(199),"22,524 ","419,671 ","442,195 ",0 
"150,576 ",0 ,0 ,(10),0 ,"182,871 ","182,871 ",0 
"1,322 ",0 ,0 ,15 ,0 ,"29,619 ","29,619 ",0 
"254,661 ",0 ,0 ,(91),"1,337 ","134,795 ","136,132 ",0 
"467,648 ",0 ,20 ,18 ,"2,171 ","217,798 ","219,969 ",0 
"311,670 ",0 ,"5,192 ",(758),514 ,"241,954 ","242,468 ",0 
0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
"53,898 ",0 ,766 ,(36),29 ,"29,179 ","29,208 ",0 
120 ,0 ,0 ,(1),0 ,"2,959 ","2,959 ",0 
"4,551 ",0 ,"6,829 ",(7),126 ,"39,779 ","39,905 ",0 
"51,079 ",0 ,"13,846 ","13,108 ",0 ,"51,716 ","51,716 ",0 
"2,832 ",0 ,40 ,91 ,0 ,"5,795 ","5,795 ",0 
"299,402 ",0 ,"20,356 ","29,679 ",0 ,"458,651 ","458,651 ",0 
"282,171 ",0 ,0 ,467 ,"1,197 ","132,469 ","133,666 ",0 
"6,332 ",0 ,0 ,(45),0 ,645 ,645 ,0 
"105,005 ",0 ,0 ,"(10,239)","14,790 ","113,638 ","128,428 ",0 
"11,043 ",0 ,0 ,244 ,157 ,"2,764 ","2,921 ",0 
"159,174 ",0 ,0 ,"16,639 ",0 ,"126,836 ","126,836 ",0 
"35,563 ",0 ,"6,751 ","54,641 ",0 ,"142,748 ","142,748 ",0 
"117,920 ",0 ,0 ,(23),999 ,"66,293 ","67,292 ",0 
"17,367 ",0 ,0 ,714 ,262 ,"34,779 ","35,041 ",0 
"1,364,924 ",0 ,0 ,"27,700 ",0 ,"440,019 ","440,019 ",0 
"338,563 ",0 ,0 ,"4,618 ",0 ,"1,187,703 ","1,187,703 ",0 
"4,921 ",0 ,0 ,(132),"2,489 ","10,498 ","12,987 ",0 
"332,530 ",0 ,0 ,(2),7 ,"234,127 ","234,134 ",0 
"88,793 ",0 ,0 ,185 ,0 ,"21,507 ","21,507 ",0 
"121,159 ",0 ,0 ,(94),97 ,"173,046 ","173,143 ",0 
"41,727 ",0 ,0 ,(5),"18,126 ","19,871 ","37,997 ",0 
"10,944 ",0 ,0 ,(60),"24,734 ","7,417 ","32,151 ",0 
"321,188 ",0 ,0 ,(16),0 ,"443,546 ","443,546 ",0 
"903,928 ",0 ,0 ,(477),0 ,"2,426,851 ","2,426,851 ",0 
"130,371 ",0 ,0 ,38 ,"2,823 ","139,371 ","142,194 ",0 
"48,642 ",0 ,446 ,(111),"109,038 ","298,710 ","407,748 ",0 
"3,965 ",0 ,0 ,"(2,240)","4,621 ","8,042 ","12,663 ",0 
"6,224 ",0 ,0 ,(596),0 ,"20,361 ","20,361 ",0 
"354,450 ",0 ,0 ,"(8,805)","647,630 ","109,650 ","757,280 ",0 
"75,691 ",0 ,0 ,(399),"154,084 ","121,270 ","275,354 ",0 
0 ,0 ,0 ,(15),"8,533 ","6,187 ","14,720 ",0 
"17,627 ",0 ,0 ,(273),"173,965 ","54,331 ","228,296 ",0 
"1,674 ",0 ,523 ,335 ,"9,083 ",556 ,"9,639 ",0 
15 ,0 ,0 ,3 ,0 ,18 ,18 ,0 
"5,197 ",0 ,0 ,80 ,"51,894 ",32 ,"51,926 ",0 
0 ,0 ,0 ,34 ,"2,261 ",2 ,"2,263 ",0 
"14,308 ",0 ,"3,821 ",72 ,"108,360 ","41,483 ","149,843 ",0 
128 ,0 ,19 ,0 ,"9,482 ","1,210 ","10,692 ",0 
"5,397 ",0 ,166 ,12 ,"78,506 ","46,840 ","125,346 ",0 
1 ,0 ,0 ,1 ,"5,654 ","95,861 ","101,515 ",0 
"21,221 ",0 ,"17,937 ",(94),"4,787 ","171,380 ","176,167 ",0 
"64,203 ",0 ,"12,907 ","2,007 ","49,969 ","190,960 ","240,929 ",0 
"26,798 ",0 ,"240,923 ","13,609 ","6,460 ","279,936 ","286,396 ",0 
"365,538 ",0 ,"5,468 ",(274),"337,842 ","501,880 ","839,722 ",0 
"9,381 ",0 ,0 ,(2),"14,211 ","8,523 ","22,734 ",0 
"12,821 ",0 ,"4,674 ",172 ,"57,586 ","18,262 ","75,848 ",0 
174 ,0 ,0 ,23 ,0 ,0 ,0 ,0 
"394,961 ",0 ,0 ,57 ,0 ,0 ,0 ,0 
"101,201 ",0 ,0 ,"9,583 ",0 ,0 ,0 ,0 
0 ,0 ,"10,507,629 ",(2),0 ,0 ,0 ,"57,640 "
0 ,0 ,"3,005,587 ",1 ,0 ,0 ,0 ,"286,091 "
"2,293,119 ",309 ,"102,242 ","38,865 ","184,474 ","1,648,416 ","1,832,890 ",601 
"387,015 ",8 ,"2,604 ",990 ,"4,698 ","41,983 ","46,681 ",15 
"112,449 ",0 ,44 ,14 ,94 ,840 ,934 ,"112,899 "
"1,443,647 ",67 ,"22,194 ","8,436 ","42,164 ","376,761 ","418,925 ","80,523 "
"846,292 ",3 ,884 ,335 ,"1,805 ","16,127 ","17,932 ","260,129 "
"357,785 ",6 ,"2,048 ",775 ,"4,317 ","38,571 ","42,888 ","426,525 "
"429,229 ",0 ,0 ,2 ,0 ,0 ,0 ,"413,475 "
"4,509,880 ",0 ,0 ,3 ,0 ,0 ,0 ,"1,991,770 "
"3,151,411 ",0 ,"23,020 ",0 ,0 ,0 ,0 ,"921,647 "
"940,929 ",0 ,0 ,3 ,0 ,0 ,0 ,"169,984 "
"110,684 ",0 ,0 ,0 ,0 ,0 ,0 ,"80,252 "
"36,413 ",0 ,0 ,2 ,0 ,0 ,0 ,"100,756 "
"1,998 ",0 ,0 ,2 ,0 ,0 ,0 ,"5,546 "
"2,005,260 ",0 ,0 ,(1),0 ,0 ,0 ,"2,793,849 "
"17,173 ",0 ,0 ,(2),0 ,0 ,0 ,"63,120 "
"3,222 ",0 ,0 ,(1),0 ,0 ,0 ,"36,581 "
"2,485 ",0 ,0 ,0 ,0 ,0 ,0 ,"16,836 "
"15,245 ",0 ,0 ,(4),0 ,0 ,0 ,"55,269 "
"496,666 ","5,561,528 ",0 ,1 ,0 ,0 ,0 ,"617,984 "
"3,480,410 ","2,543,843 ",0 ,(1),0 ,0 ,0 ,"2,669,278 "
"1,443,260 ","726,346 ",0 ,(3),0 ,0 ,0 ,"844,897 "
"28,093 ",0 ,0 ,1 ,0 ,0 ,0 ,"400,138 "
"840,791 ","134,457 ",0 ,3 ,0 ,0 ,0 ,"272,608 "
