200.945,24.43,2.523,9.839,2.206,5.158,53.794,4.956,68.402,9.093,7.637,3.715,9.883,6,35.049,3.797,2,4.125,2.168,121,3.203,46,1.927,1.002,583,9.564,4.558,948,72.524,594.03,-,17.853,4.291,29.656,17.019,6.152,1.355,-,61.125,1.322,173.091,32.109,12.546,529.816,45.459,1.583.817,10.11,19.134,14.273,37.646,746.539,5.189,111.971,8.438,9.524,8.076,9.047,949,13.494,59.506,4.21,376.447,50.015,91.864,32.947,-,5.263.220
955.177,154.213,88.728,98.544,36.648,37.289,257.863,11.209,131.387,46.112,45.014,15.558,45.192,33.539,145.074,45.985,30.31,30.809,432.05,61.785,46.097,255,10.06,5.558,6.094,32.25,199.791,8.029,166.299,2.624.318,316.236,292.243,15.12,29.523,90.617,13.697,3.405,-,41.938,11.755,41.987,35.621,13.397,2.064.363,61.544,295.599,206.602,54.773,39.887,19.809,486.505,9.626,72.618,133.102,41.385,236.405,149.577,6.904,24.383,506.048,17.645,6.416.244,52.617,20.774,32.551,-,17.655.735
3.020.412,801.973,449.81,473.098,180.452,181.398,660.025,52.522,569.522,216.07,417.519,144.304,419.174,173.639,699.216,128.85,113.71,115.582,903.245,129.168,145.787,1.524,60.223,33.274,28.212,214.64,219.852,21.965,454.968,4.686.923,893.953,621.408,105.026,71.556,76.264,27.687,24.11,-,149.145,122.82,189.539,173.03,9.083,1.807.327,1.268.845,6.094.284,490.373,103.387,75.289,72.013,1.768.663,45.329,203.051,199.396,53.121,440.013,1.338.563,61.781,218.207,756.829,26.389,-,301.376,118.991,186.447,-,33.810.353
125.37,1.318,4.115,6.784,2.724,-,25.438,184,2.495,758,9.586,3.313,9.624,1.087,887,978,2.334,2.372,127.534,18.238,985,199,7.869,4.348,197,1.032,30.824,1.449,30.011,688.199,19.186,113.179,3.185,3.531,6.52,4.052,367,-,6.444,335,7.811,49.273,10.301,197.108,102.867,494.071,55.914,52.494,38.228,15.131,371.611,4.534,17.035,85.783,3.681,11.099,35.594,1.643,5.802,111.766,3.897,320.812,30.957,12.222,19.151,-,3.325.838
36.319,5.682,4.247,5.598,1.286,1.619,3.169,118,5.289,485,1.876,648,1.883,1.204,2.257,158,1.122,1.141,8,1.144,927,10,403,223,4,1.118,163,57,1.188,685.211,16.022,6.87,4.229,1.341,5.905,10.227,250,-,240,-,526,520,1.872,470.032,8.416,40.423,11.768,29.328,21.358,1.307,32.096,11,956,1.369,701,2.974,214,10,35,39.309,1.371,-,1.895,748,1.172,-,1.486.044
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
