ID,Count
1,15055
2,170123
3,0
4,0
5,0
6,1502
7,450037
8,172598
9,35001
10,0
11,0
12,837990
13,673192
14,959893
15,71358
16,308390
17,0
18,17363
19,865
20,27408
21,11
22,0
23,295
