VALUE,COUNT,ID_LC1,ID_LC2
1,71042.00000000000,15,15
2,165487.00000000000,2,2
3,292986.00000000000,16,16
4,26265.00000000000,20,20
5,811137.00000000000,14,14
6,2132.00000000000,16,14
7,314.00000000000,15,14
8,7459.00000000000,14,16
9,240.00000000000,18,20
10,678301.00000000000,12,12
11,3356.00000000000,13,16
12,572642.00000000000,13,13
13,105.00000000000,14,15
14,2.00000000000,15,20
15,547.00000000000,12,20
16,169.00000000000,23,23
17,48126.00000000000,14,13
18,6569.00000000000,12,16
19,8881.00000000000,16,12
20,3148.00000000000,13,14
21,3287.00000000000,16,13
22,151513.00000000000,8,8
23,54.00000000000,16,20
24,4934.00000000000,18,12
25,89827.00000000000,14,12
26,52798.00000000000,12,14
27,3098.00000000000,13,7
28,3438.00000000000,12,7
29,446552.00000000000,7,7
30,495.00000000000,7,14
31,7173.00000000000,9,7
32,58.00000000000,9,14
33,87553.00000000000,13,12
34,88795.00000000000,12,13
35,9420.00000000000,18,18
36,185.00000000000,7,16
37,6985.00000000000,8,12
38,2138.00000000000,14,20
39,6962.00000000000,12,8
40,11.00000000000,21,21
41,395.00000000000,13,20
42,373.00000000000,20,14
43,710.00000000000,20,12
44,852.00000000000,19,19
45,1489.00000000000,7,8
46,1.00000000000,19,13
47,12.00000000000,19,12
48,253.00000000000,12,19
49,394.00000000000,14,7
50,14733.00000000000,9,13
51,1351.00000000000,8,14
52,2910.00000000000,9,12
53,2978.00000000000,13,8
54,25.00000000000,9,19
55,2403.00000000000,2,13
56,121.00000000000,9,20
57,358.00000000000,8,16
58,471.00000000000,16,8
59,121.00000000000,8,19
60,3081.00000000000,9,9
61,11248.00000000000,8,13
62,1264.00000000000,7,18
63,244.00000000000,8,18
64,577.00000000000,14,8
65,32.00000000000,7,12
66,6804.00000000000,9,8
67,221.00000000000,18,14
68,15.00000000000,13,18
69,692.00000000000,18,7
70,724.00000000000,8,20
71,1.00000000000,20,13
72,13.00000000000,20,8
73,87.00000000000,14,23
74,1907.00000000000,2,7
75,29.00000000000,12,23
76,86.00000000000,9,16
77,743.00000000000,18,8
78,9.00000000000,2,12
79,13910.00000000000,1,1
80,3.00000000000,16,15
81,1063.00000000000,1,2
82,135.00000000000,18,16
83,276.00000000000,16,19
84,20.00000000000,20,16
85,20.00000000000,7,13
86,18.00000000000,14,19
87,10.00000000000,2,16
88,26.00000000000,1,13
89,2.00000000000,2,8
90,136.00000000000,16,23
91,148.00000000000,16,7
92,7.00000000000,13,19
93,36.00000000000,12,9
94,70.00000000000,12,15
95,8.00000000000,16,9
96,328.00000000000,18,9
97,56.00000000000,1,18
98,305.00000000000,2,18
99,80.00000000000,23,16
100,10.00000000000,20,21
101,192.00000000000,12,18
102,1110.00000000000,6,6
103,7.00000000000,8,9
104,13.00000000000,14,18
105,8.00000000000,16,18
106,83.00000000000,18,19
107,567.00000000000,18,13
108,12.00000000000,14,9
109,47.00000000000,8,7
110,10.00000000000,9,18
111,16.00000000000,20,6
112,28.00000000000,6,19
113,46.00000000000,23,12
114,364.00000000000,6,2
