0,0,0,"81,821",0
"119,776",0,0,"21,272",215
"181,513",0,0,0,"22,552"
"1,529,538",0,"11,853",0,"735,669"
"168,657",0,0,"24,530",0
"11,287",0,0,182,"3,877"
"5,347",0,0,"-1,440",160
"72,504",0,0,"12,221",423
"10,267",0,0,"2,958","3,838"
"17,573",0,0,"14,567",946
"60,690",0,"19,672","-10,398","85,948"
"9,290",0,"1,742",52,0
"510,957",0,"45,067","8,902","10,742"
"2,156,198",0,0,0,"154,284"
"20,376",0,0,"46,235","5,922"
112,0,0,-61,115
"1,119,415",0,0,"59,239","552,070"
0,0,0,0,0
0,0,0,227,"50,021"
0,0,0,0,0
"1,203,360",0,0,"-213,035","38,514"
"114,802",0,0,"-29,971","198,282"
"132,192",0,0,"-5,931","548,556"
"542,996",0,"100,956","-149,598","3,342,331"
"20,324",0,"59,459","-53,927","1,534,663"
"41,113",0,0,67,"88,951"
"51,849",0,0,458,"778,493"
"6,387",0,22,0,"4,742"
0,0,"4,381",18,"53,083"
"1,326",0,"59,859","11,161","270,587"
0,0,0,0,0
"6,553",0,99,41,"16,121"
"4,906",0,"3,426",85,"147,572"
"647,805",0,0,0,0
0,0,"4,433,706",0,0
"2,374,230",0,"112,679","-99,850","1,603,081"
"1,656,572",0,0,0,"5,441,255"
"49,981",0,0,0,"6,840,052"
"13,473",0,0,0,"358,505"
"139,522",0,"3,466","-3,071","1,570,373"
"107,111",0,"1,772","-1,570","171,368"
"639,957",0,"20,309","-17,997","2,239,881"
"63,720",0,"1,524","-1,350","588,359"
"263,938",0,"4,786","-4,241","138,417"
"254,666",0,0,0,"832,194"
"494,863",0,0,0,"39,093"
"5,942",0,0,0,"75,287"
"1,241,047",0,0,0,0
"180,198",0,0,0,"3,205"
"133,524",0,0,0,0
"172,713","3,883,890",0,0,0
"105,049","29,903",0,0,"201,088"
290,0,0,0,"7,636"
"229,510","171,875","190,535",0,"2,373,300"
