324079.28,0,0,121230.15,0,0,0,2735926.02,11639.64,0,0,0,1278411.52,0,0,0,0,47481.63,0
0,169514.9,0,142506.31,0,0,0,126004.99,6031.48,0,0,0,65249.38,117479.58,0,0,0,129945.5,0
4181.04,4900.8,556429.03,30657.34,0,0,0,1698166.71,118001.49,0,0,0,51304.4,32487.49,8724.11,0,418.28,38779.91,9277.36
21267.91,3766.81,47539.89,140416.83,25233.24,0,0,73899.87,372059.61,0,0,0,0,22928.38,542.89,0,0,66392.18,0
2079.44,437.29,5331.28,171.39,15404.38,0,1268.43,1938.13,43020.24,0,0,274396.55,144.92,3712.25,28.65,0,0,2431.98,0
0,0,0,0,0,109902,0,73638.5,4.21,0,0,0,0,18412.72,7790.72,0,0,145925.04,0
0,0,0,0,0,0,3300.19,5480.05,311896.7,0,1093.98,83447.82,10717.34,0,6.5,0,0,728.29,0
0,0,31992.97,59963.31,0,2284.4,0,443318.84,12960.56,0,0,0,113093.41,131269.25,107209.53,2787.18,0,370631.32,0
7132.76,38654.09,177138,20096.08,35291.2,12886.22,4064.22,33589.22,1089178.19,0,19970.17,1033745.85,197962.13,5069.78,527330.38,18470.2,72391.78,171782.79,12920.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9041.68,58649.14,5629.2,1669.61,7187.64,12425.57,19182.02,320055.45,0,150928.61,18447.18,384554.15,7607.56,173312.51,62749.19,24532.3,38524.35,442.38
12035.02,3584.68,125004.36,27546.14,7001.7,4776.31,24438.15,48729.23,89837.66,0,77815.12,37527.03,207620.18,320.74,424887.14,3513.59,11448.63,1665.26,0
81409.32,67984.38,332160.08,100430,21242.47,99014.86,74508.42,1367132.08,792581.66,0,353550.59,1083025.3,393233.17,33849.41,1309079.04,69826.89,59370.57,110721.31,2143.24
0,3504.6,2333.97,24.17,725.7,1072.8,3348.21,2900.16,26923.54,0,1590.67,4537.48,136379.25,1727.15,8255.41,11535.61,391209.74,27231.92,0
22964.9,64364.59,548369.93,20945.24,10006.17,29066.43,77819.23,398357.86,584533.36,0,197297.48,476962.39,2194320.45,78189.23,2957760.86,335406.28,527297.7,139272.3,1592.15
10429.68,10495.43,189847.72,12188.77,17120.56,11761.18,97843.31,48190.5,231463.75,0,12740.64,184812.65,1389437.1,5431.29,560732.9,394834.26,439138.52,84176.39,429.19
0,0,0,0,0,0,0,0,0,0,0,0,0,2087.62,3550.41,29209.85,32.07,36929.35,0
5408.81,4131.37,28669.12,11106.51,11413.56,1272.89,23329.28,26214.1,37171.64,0,3044.57,17078.49,591342.67,237.53,1591245.48,102150.01,161395.33,116981.54,0
58.08,0,476.1,0,0,0,0,2152.52,14623.43,0,295.47,2411.15,47603.05,0,2764.85,0,0,11955.03,534.41
