16429,0,0,0,0,0,0,0,0,318,691,5249,0,0,0,0,0,0,0,0,192776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6339,0,0,0,0,0,0,0,2174,3358,2007,0,1202,0,0,0,0,0,5349,28852,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,30260,0,0,0,0,0,0,0,0,458,2554,0,0
0,0,15646,0,0,0,0,0,0,2482,1813,0,0,12645,0,0,0,0,0,799,13236,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,70643,0,0,0,0,0,0,0,0,916,10079,0,0
0,0,0,6583,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,377,3500,332,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,27808,0,0,0,0,0,0,0,0,1592,9607,0,0
0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,8607,0,0,0,0,0,0,0,13,200,106,0,0
0,0,0,0,0,155104,0,0,0,0,0,0,0,0,0,0,0,0,2560264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,381305,0,0,0,0,0,0,0,0,0,0,0,0,0,549889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,36365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,118,68,0,16,0,0,0,0,0,0,610,28,791,240,0,0,0,305,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,215,0,0,0,0,0,0,0,0,2,20,0,0
847,805,964,7236,51,11063,6078,509,141,2504,0,5136,0,0,0,0,0,0,0,2139,31816,583,0,90,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,31601,0,0,0,0,0,0,0,84,0,0,0,0
