"309,049","17,229","2,420","12,697","27,405","64,071","113,464","257,527","203,605","14,953","209,851","1,998","2,711","3,433","44,765","25,595","85,913","31,123","85,442","36,982","338,725","13,422","159,881",273,"16,715","1,333","46,482","158,651",878,"3,839",443,"5,653","29,437",950,"248,840","746,042","1,013,426","58,385","114,336","227,876","13,335","21,850","294,651","34,805","48,609","6,701","3,061",57,"14,266","519,043","312,186","203,110","6,255",0
"2,304,997","227,655","2,235","84,642","22,853","117,447","325,989","287,429","996,504","119,198","417,317","4,615","8,864","16,292","175,720","101,434","219,740","103,695","252,363","110,884","3,523,257","104,314","350,125",512,"738,076","1,960","20,042","560,844","1,647","2,801","1,210","4,886","140,824","40,852","5,554,953","4,197,886","161,613","173,742","169,043","132,715","634,643","68,569","152,793","832,734","328,722","111,772","108,717",299,"285,056","5,234,434","621,765","615,773","46,294",0
"1,503,824","283,046","2,482","99,662","114,637","129,882","233,617","591,392","1,779,619","522,681","2,552,618","31,120","231,085","196,702","427,641","176,873","245,570","251,493","683,933","1,147,371","2,125,223","988,393","185,948","1,073","1,003,835","5,528","95,314","2,147,322","14,167","5,961","4,237","17,642","558,042","39,415","2,445,290","7,716,107","1,333,095","151,408","390,649","347,388","145,416","46,750","1,333,244","779,975","941,859","232,515","267,507","1,017","59,437",0,"1,923,855","86,911","741,762",0
"45,167","6,434",45,"1,470","1,661","4,805",0,"26,014","19,164","56,554","344,052",554,"3,519",1,"3,983","8,119","44,979","15,785","8,269","2,007","193,130","367,137","13,493",54,"66,313",299,"4,659","439,657","1,061","8,936",503,"7,424","27,730","12,632","633,081","2,362,456","101,809","5,401","74,845","58,760","21,984","20,181","16,012","224,850","36,811","22,348","65,663",90,"34,297","2,007,496","516,410","406,833","8,155",0
"16,099",392,38,"1,252",592,"1,149","14,918","22,974","2,210","12,657","152,178","1,941",27,414,795,"1,157","9,584","36,567","58,994","1,750","229,358","25,212","20,190",4,"1,652",69,"4,493","221,579",54,"13,799",245,"4,907",76,"1,667","394,043","764,756","68,735","8,965","4,705","77,817","2,178","6,803","6,288","346,209","1,330","37,927","24,407",42,"43,042",0,"72,383","3,574","2,115",0
