Padi
Jagung
Umbi-umbian
Kacang kacangan dan serelia
Tanaman hortikultura semusim
Tanaman perkebunan semusim
Tanaman hortikultura tahunan dan lainnya
Karet
Kelapa sawit
Tanaman perkebunan tahunan lainnya
"Ternak, unggas, dan hasil-hasilnya"
Jasa pertanian dan perburuan
Hasil kehutanan dan penebangan kayu
Hasil perikanan
Minyak mentah dan kondensat
Gas alam
Hasil pengusahaan tenaga panas bumi
Batubara dan lignit
Bijih tembaga
Bijih logam mulia
Barang tambang logam lainnya
Barang pertambangan dan penggalian lainnya
Produk dari batubara
Produk dari hasil kilang minyak bumi
Produk dari hasil kilang gas dan minyak pelumas
Makanan dan minuman
Rokok dan tembakau olahan
Tekstil dan pakaian jadi
"Kulit, barang dari kulit dan alas kaki"
"Kayu olahan, barang dari kayu, gabus, barang anyaman dari bambu, rotan, dan sejenisnya"
"Kertas, barang dari kertas, barang percetakan, dan reproduksi media rekaman"
"Barang kimia, farmasi, dan obat tradisional"
"Karet, barang dari karet, dan plastik"
Barang galian bukan logam
Logam dasar
"Barang dari logam, komputer, barang elektronik, optik dan peralatan listrik"
Mesin dan perlengkapan YTDL
Alat angkutan
Perabotan rumah tangga
"Barang industri pengolahan lainnya, jasa reparasi, dan pemasangan mesin dan peralatan"
Ketenagalistrikan
"Hasil gas alam dan buatan, pengadaan uap air/air panas, udara dingin dan produk es"
"Pengadaan air, pengolahan sampah dan daur ulang"
Konstruksi
"Perdagangan mobil, sepeda motor, dan reparasinya"
Perdagangan besar dan eceran
Jasa angkutan rel
Jasa angkutan darat lainnya
Jasa angkutan laut
Jasa angkutan sungai danau dan penyeberangan
Jasa angkutan udara
"Jasa penunjang angkutan, pos dan kurir"
Penyediaan akomodasi
Penyediaan makan minum
Jasa informasi dan komunikasi
Jasa keuangan perbankan
Jasa asuransi dan dana pensiun
Jasa keuangan lainnya
Jasa penunjang keuangan
Jasa real estate
Jasa perusahaan
Pemerintahan umum
Jasa pendidikan
Jasa kesehatan dan kegiatan sosial
Jasa lainnya
