" 1,430,156 "," 345,988 "," 33,429 "," 47,901 "," 20,955 "," 21,220 "," 31,184 "," 139,607 "," 191,189 "," 54,599 ", 477 ," 14,884 "," 33,600 "," 75,201 "," 2,857 "," 10,577 "," 1,000,421 "," 16,354 "," 99,979 "," 3,223 ", 468 ," 1,859 "," 52,037 ", 43 , 23 ," 5,719 "," 37,751 "," 734,796 "," 5,983 "," 73,442 "," 49,626 "," 21,776 "," 9,940 "," 1,674,969 ", - ," 5,394 "," 55,716 "," 7,641 ", 123 , 166 ," 33,699 "," 101,068 "," 60,461 "," 1,912,254 "," 8,350 "," 5,965 "," 45,752 "," 5,072 "," 397,079 "," 2,674 "," 6,973 "," 3,998 "," 47,675 ", 311 ," 3,973 "," 20,813 "," 6,399 "," 27,794 "," 5,144 "," 42,936 "," 14,338 "," 4,260 "," 144,427 "," 189,498 "," 197,743 "," 177,522 "," 187,245 "," 2,347 "," 6,741 ", - ," 880,781 "," 13,652 ", 192 ," 1,930,283 "," 235,377 "," 56,454 "," 43,588 "," 48,078 "," 93,274 ", 762 ," 67,856 ", 146 , 742 ," 28,720 "," 1,503,472 "," 24,405 "," 1,076,186 "," 17,064 "," 827,801 "," 84,284 "," 126,863 "," 792,583 "," 21,227 "," 486,317 "," 18,903 "," 1,049,750 "," 192,086 "," 239,350 "," 29,142 "," 228,004 "," 17,338 "," 39,290 "," 3,357 "," 4,406 "," 26,528 "," 2,923,511 "," 29,326 "," 21,043 ", 291 ," 12,183 "," 22,730 ", - 
" 1,527,240 "," 294,060 "," 67,710 "," 14,279 "," 29,212 "," 23,267 "," 12,902 "," 137,900 "," 212,543 "," 14,033 ", 653 ," 52,703 "," 48,317 "," 79,739 "," 132,267 "," 132,941 "," 647,591 "," 20,016 "," 157,570 "," 3,291 "," 212,896 "," 38,784 "," 104,029 ", 472 ," 5,952 "," 16,358 "," 5,860 "," 1,026,720 "," 254,982 "," 249,178 "," 145,260 "," 60,453 "," 13,656 "," 1,545,129 ", - ," 8,265 "," 289,744 "," 86,811 "," 5,494 ", 447 ," 180,981 "," 852,319 "," 262,104 "," 91,259 "," 92,450 "," 17,042 "," 44,169 "," 42,624 "," 5,012 "," 41,804 "," 11,214 "," 4,035 "," 29,743 ", 100 , 837 ," 5,513 ", 798 ," 2,121 "," 7,876 "," 6,326 "," 8,298 ", 924 ," 129,096 "," 220,726 "," 106,381 "," 78,128 "," 55,239 ", 500 ," 5,873 ", - ," 109,404 "," 6,629 ", 757 ," 723,904 "," 337,271 "," 2,194 "," 20,282 "," 9,845 "," 11,092 "," 2,610 "," 7,730 ", 47 , 175 ," 22,454 "," 400,094 "," 48,182 "," 978,423 "," 19,368 "," 865,001 "," 62,286 "," 256,894 "," 3,599,973 "," 49,167 "," 459,049 "," 56,061 "," 682,685 "," 245,200 "," 299,749 "," 109,002 "," 304,021 "," 857,069 "," 343,207 "," 68,441 "," 91,776 "," 92,526 "," 13,626,862 "," 210,758 "," 61,067 "," 13,844 "," 32,051 "," 74,072 ", - 
" 7,253,767 "," 1,762,720 "," 747,698 "," 101,362 "," 224,769 "," 152,314 "," 99,890 "," 834,025 "," 1,261,102 "," 91,647 ", 530 ," 105,430 "," 219,597 "," 200,892 "," 442,691 "," 466,431 "," 2,769,804 "," 121,382 "," 300,941 "," 6,595 "," 627,905 "," 115,779 "," 621,781 ", 869 ," 6,432 "," 61,301 "," 19,210 "," 4,531,202 "," 674,505 "," 664,701 "," 843,452 "," 123,055 "," 229,823 "," 3,068,541 ", - ," 29,280 "," 392,575 "," 88,092 "," 21,173 ", 487 ," 491,878 "," 537,903 "," 1,631,593 "," 169,267 "," 210,763 "," 20,603 "," 51,834 "," 45,311 "," 111,150 "," 37,837 "," 48,997 "," 7,070 "," 61,399 ", 454 ," 4,536 "," 8,043 "," 6,553 "," 44,463 "," 12,712 "," 10,451 "," 8,815 "," 1,545 "," 167,043 "," 269,403 "," 235,087 "," 238,519 "," 99,788 ", 900 ," 6,679 ", - ," 193,521 "," 13,532 ", 260 ," 1,516,681 "," 509,909 "," 3,894 "," 22,201 "," 10,398 "," 20,322 "," 2,856 "," 65,819 ", 42 , 210 ," 29,563 "," (207,566)"," 68,708 "," 1,365,338 "," 16,813 "," 891,267 "," 50,670 "," 327,922 "," 10,360,145 "," 124,694 "," 716,922 "," 136,560 "," 2,246,249 "," 389,511 "," 259,308 "," 255,616 "," 633,780 "," 2,061,512 "," 615,501 "," 57,358 "," 1,957,793 "," 160,337 ", - ," 71,672 "," 45,607 ", 747 ," 32,705 "," 90,671 ", - 
" 151,543 "," 7,039 ", 440 ," 1,232 "," 5,019 "," 2,851 "," 1,762 "," 2,810 "," 3,162 ", 122 , 88 , 871 ," 1,775 "," 22,407 "," 44,737 "," 22,837 "," 9,001 ", 521 ," 14,596 ", 28 ," 20,313 "," 3,832 "," 9,547 ", 68 ," 2,510 "," 6,587 ", 642 ," 245,996 "," 59,080 "," 17,551 "," 29,305 "," 6,291 "," 12,458 "," 690,679 ", - ," 1,285 "," 66,338 "," 7,923 ", 428 , 76 ," 14,608 "," 13,246 "," 31,332 "," 37,228 "," 8,544 ", 569 ," 3,525 "," 11,846 "," 1,182 "," 1,090 "," 1,456 "," 1,700 "," 6,095 ", 78 , 790 , 11 , 135 , 609 ," 2,639 ", 366 ," 1,788 ", 164 ," 21,557 "," 89,330 "," 16,161 "," 12,628 "," 22,558 ", 111 ," 1,102 ", - ," 31,243 "," 2,424 ", 45 ," 551,522 "," 85,300 ", 569 ," 6,370 "," 4,567 "," 1,835 ", 811 ," 7,072 ", 11 , 27 ," 3,061 "," 645,023 "," 6,859 "," 290,185 "," 1,625 "," 164,594 "," 10,363 "," 36,541 "," 930,310 "," 5,719 "," 85,182 "," 16,637 "," 501,068 "," 167,942 "," 727,533 "," 56,709 "," 319,672 "," 94,812 "," 43,797 "," 19,029 "," 188,929 "," 24,934 "," 691,608 "," 11,628 "," 50,750 ", 872 ," 14,359 "," 11,397 ", - 
" 102,388 "," 31,542 "," 4,733 ", 388 ," 1,516 "," 1,834 ", 265 ," 4,127 "," 10,792 ", 657 , 21 , 113 , 627 ," 3,285 "," 20,076 "," 9,255 "," 9,574 ", 193 ," 1,649 ", 22 ," 12,911 "," 2,436 "," 5,058 ", - , - ," 1,758 ", 77 ," 63,986 "," 12,485 "," 5,186 "," 19,485 "," 1,959 "," 2,693 "," 255,617 ", - ," 3,808 "," 16,569 "," 17,647 ", 413 , 73 ," 6,232 "," 4,470 "," 8,906 "," 8,009 "," 7,129 ", 249 ," 4,403 "," 10,128 ", 987 ," 1,176 ", 620 , 176 ," 11,419 ", 355 , 348 , 160 , 190 , 83 ," 1,106 ", 558 , 835 , 129 ," 28,383 "," 12,412 "," 4,128 "," 10,358 "," 11,741 ", 21 ," 1,306 ", - ," 17,739 "," 6,636 ", 63 ," 382,652 "," 85,226 ", 284 ," 5,603 "," 3,138 "," 3,088 ", 720 ," 8,944 ", 14 , 20 ," 5,614 ", 629 , 761 ," 97,853 "," 1,928 "," 143,129 "," 4,015 "," 11,034 "," 1,060,520 ", 378 ," 114,991 "," 17,182 "," 49,607 "," 34,714 "," 13,583 "," 4,527 "," 15,900 "," 13,522 "," 3,577 "," 22,059 "," 149,050 "," 15,214 ", - ," 6,562 "," 4,177 ", 120 ," 7,580 "," 3,791 ", - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
