 Padi 
 Ketela pohon 
 sayur-sayuran 
 Buah-buahan 
 Tabama Lainnya 
 Lada 
 Kelapa sawit 
 Tanaman Perkebunan Lainnya 
 Ayam Ras 
 Peternakan Lainnya 
 Kayu 
 Hasil hutan lainnya 
 Ikan laut dan hasil aut lainnya 
 Ikan darat dan hasil perairan darat 
 Pertambangan Migas 
 Batubara 
 Pertambangan Non Migas Lainnya 
 Barang galian segala jenis 
 Barang-barang hasil kilang minyak 
 Gas alam cair (LNG) 
" Industri Makanan, Minuman dan Tembakau "
" Industri Tekstil, Barang Kulit dan Alas Kaki "
 Industri Kayu dan Hasil Hutan Lainnya 
 Industri Kertas dan Barang Cetakan 
" Industri Pupuk, Kimia dan Barang dari Karet "
" Industri Semen, Barang Lain Bukan Logam "
" Industri Logam Dasar, Besi dan Baja "
" Industri Alat Angkutan, Mesin dan Peralatan "
 Industri Barang Lainnya 
 Listrik dan gas 
 Air bersih 
 Konstruksi 
 Jasa perdagangan 
 Jasa perhotelan 
 Jasa restoran 
 Jasa angkutan jalan raya 
 Jasa angkutan sungai dan danau 
 Jasa angkuta laut 
 Jasa angkutan  udara 
 Jasa penunjang angkutan 
 Jasa komunikasi 
 Bank 
 Lembaga Keuangan Selain Bank 
 Sewa bangunan dan sewa tanah 
 Jasa perusahaan 
 Pemerintahan dan Pertahanan 
 Jasa Sosial dan Kemasyarakatan 
" Jasa hiburan, rekreasi & kebudayaan "
 Jasa perorangan dan rumah tangga 
