401,178,"2,905",510,"22,518","3,182",175,0,"5,292","44,912","4,164",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,868","6,613","4,041","2,116","32,640",0,"5,761",0,"2,325",0,518,29,"62,347",703,0,0,"12,885","3,878","224,337","57,673",0,0
393,664,988,"1,617","15,656","4,325",444,473,"57,120","15,757","2,043",0,"28,891",97,"38,953",495,2,0,358,0,0,"2,783",30,73,"1,377",738,"64,996",875,"14,652","12,017","7,778","1,078",691,"1,355",286,791,967,100,42,22,198,184,"18,520","7,740","14,604","1,247"
"1,003","2,616","1,303","6,920","42,775","18,676","1,830","1,568","84,323","73,206","2,960",0,"130,657",547,"119,410","2,473",10,0,"1,868",0,0,"13,125",167,394,"5,583","2,813","307,769","4,313","70,984","45,838","18,254","4,370","2,804","7,124","1,389","3,728","3,923",514,213,101,969,973,"63,928","30,083","51,435","6,457"
"1,230","4,502","3,480","5,847","67,541","1,946","2,495","4,117","136,942","40,750","18,252",0,"9,916",49,"202,817",543,2,0,638,0,0,"3,098",18,91,"2,867","1,539","40,257","4,778","18,682","40,566","26,426","1,225","23,510",652,18,180,"15,533",557,208,106,613,330,"62,164","19,953","30,701","1,016"
156,341,"2,785","1,236","47,670","3,874",286,90,"114,646","3,093",0,0,"1,320",10,85,131,0,0,132,0,0,904,6,13,"2,383",233,"27,547",589,"5,333","5,194","6,563","2,343",0,461,20,1,"3,355",11,27,22,61,6,"13,871","3,388",267,119
124,0,288,0,"1,070",126,0,0,0,565,0,0,617,16,0,281,1,0,203,0,0,316,0,25,0,0,"1,479",435,"3,351","2,259",391,933,0,862,0,0,"1,649",6,2,1,0,0,"52,752",902,942,0
"2,498",0,416,0,"7,245",768,0,0,0,"10,418","5,784",0,125,26,0,486,1,0,448,0,0,"2,761",0,58,23,96,"2,506","2,118","12,006",723,"3,307",580,"11,278","2,782",206,1,"4,771",372,358,174,"1,528",870,"174,638","7,202","3,467","1,379"
0,0,0,0,"3,731",0,32,79,"36,714","17,277",0,0,488,5,37,95,0,0,76,0,0,405,1,12,11,818,3,755,"2,940","6,435","43,719",533,"1,486","1,258",1,5,453,10,17,20,11,16,"7,476",826,"4,164",868
0,0,0,0,0,67,0,0,0,"1,967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,"3,193",0,"4,937",0,"7,532",0,102,0,"4,729",228,62,30,"3,192","1,467",0,"3,290","1,017",73
79,0,27,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,577,0,"5,594",0,"7,936",0,9,221,"1,729",207,201,121,175,110,"53,991","3,402","2,046",298
0,0,98,0,0,250,161,311,"4,712","3,101",0,0,"2,079",56,"8,876","4,367",1,0,"1,348",0,0,"6,589",76,243,730,794,"8,114","13,711","100,873","11,696","20,603",481,"15,454","20,261","1,599","1,034","216,329","3,321","1,508",730,"3,571","2,058","139,039","47,156","6,244","17,716"
920,741,"2,674","2,127","4,375","1,158",522,701,"9,757","97,131","9,120",0,701,13,"12,257",135,1,0,233,0,0,"1,926",6,31,"3,306",738,"11,630","25,104","34,542","13,121","6,151",227,"8,295","2,603",31,19,"18,931","19,931",915,443,"5,594","3,224","63,262","6,916","3,507","5,191"
61,106,88,304,625,148,75,100,"1,394","13,882",801,0,112,2,"1,599",19,0,0,22,0,0,237,1,4,473,106,"2,141","6,217","4,937","3,210","10,707",33,"1,185",372,3,3,"2,706","1,427",131,66,800,461,"9,041",988,501,742
7,6,5,17,35,15,8,26,365,770,341,0,6,0,77,1,0,0,1,0,0,6,0,0,26,28,92,"1,492",274,178,"1,718",2,66,97,0,0,485,279,7,16,44,120,"2,364",55,131,194
0,0,256,0,"3,729",0,341,0,0,"53,709",0,0,"1,097",84,"29,870",842,2,0,"1,245",0,0,"1,043",40,186,"4,470","2,999","14,571","9,919","57,817","12,424","1,338",0,"3,346","5,745",858,0,"16,144",899,40,19,"6,227","3,589","64,608","27,365","41,130","11,134"
0,0,122,0,"3,208",0,114,0,0,"2,465",0,0,205,300,251,71,15,0,338,0,0,"1,269",10,41,"1,345",911,"18,022","1,921","1,853","4,133","17,392",0,824,"1,745",51,0,"14,930","2,184",402,6,456,"1,103","19,628","1,543","12,496","3,383"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,475","21,280","1,709","69,703",0,"18,597","28,916","26,746","39,580","14,837",0,"69,318","24,787","70,790","242,483","51,472",0
0,0,0,0,0,0,0,0,0,"33,000",0,0,"2,017",159,"8,334",32,29,0,106,0,0,213,"3,275",103,"2,774","14,124","8,686","1,724","46,105","61,447","3,218","1,913","7,285","9,205",362,9,"17,892","2,004","1,222",155,"4,099","2,265","33,641","46,965","25,225",0
0,0,0,0,0,990,0,0,0,"27,554",0,0,"1,684",133,"6,099",27,24,0,88,0,0,178,"2,395",138,"4,731","7,977","5,581","3,163","11,045","35,094","1,357","1,597","6,083","5,199",318,8,"6,099",308,"1,020",86,"2,597","2,130","19,001","11,099","14,247",0
753,"1,474",459,"4,231","37,677",397,251,45,"16,584","2,201",425,0,440,62,"1,866",15,8,0,38,0,0,99,245,149,204,125,50,"2,186","5,014","41,574","10,340",0,269,250,15,895,644,"1,303",38,34,"2,875","2,245","2,572",310,"4,240","16,907"
