 152 , 35 , 69 , 1 , 99 , 6 , 226 , 76 , 20 , 574 , 451 , 151 , 112 ," 145,112 "," 212,528 ", - , 275 , 245 , 213 , 495 , 93 ," 1,536 "," 945,679 ", 338 , 560 , - , - , - , 262 ," 64,626 ", 484 , 220 ," 4,126 ", 607 ," 23,389 ", 23 , - , 420 , 534 , 80 
 60 , - , - , - , - , 151 , 364 , - , 71 , - , - , - , - , 510 ," 1,604 ", 223 , 369 , 353 , 260 , 241 , 382 , 379 ," 4,466 "," 10,782 ", 505 ," 4,337 ", - , - , - , - , 456 , 301 ," 1,163 ", 827 , - ," 2,859 ", - , - , 110 , 57 
 450 , 9 , 889 , 93 , 457 , 319 ," 3,075 "," 1,822 ", 328 ," 20,199 "," 51,456 "," 62,131 "," 13,492 "," 46,391 "," 542,835 "," 25,180 "," 2,839 "," 150,260 ", 346 ," 3,007 "," 3,092 "," 9,105 "," 150,858 "," 1,714 "," 52,155 "," 3,067 "," 2,483 ", 857 ," 16,747 "," 3,093 "," 8,111 "," 19,403 "," 2,649 ", 251 , 653 , 208 , - ," 2,671 "," 12,846 ", 640 
 237 , 23 , 157 , 31 , 49 , 75 , 145 , 82 , 47 ," 3,393 "," 3,250 "," 2,924 ", 262 ," 27,225 "," 43,399 ", 891 , 605 ," 10,074 ", 412 , 688 , 366 , 841 ," 9,437 "," 2,059 "," 32,281 ", 270 , 94 , 51 , 455 ," 2,248 ", 384 , 718 ," 2,732 ", 336 , 203 , 286 , - ," 2,326 "," 3,153 ", 775 
 115 , 49 , 59 , 21 , 27 , 102 , 83 , 51 , 50 ," 3,330 "," 1,698 "," 1,469 "," 2,140 "," 2,840 "," 88,870 "," 2,322 "," 2,117 "," 8,452 ", 106 ," 1,150 "," 3,127 ", 790 ," 4,330 "," 3,201 "," 22,745 ", 248 ," 14,011 ", 24 , 180 , 679 , 123 , 209 , 474 , 234 , 150 ," 1,232 ", - ," 2,238 "," 2,217 ", 637 
 68 , 12 , 38 , 13 , 32 , 48 , 79 , 61 , 18 , 163 , 103 , 86 , 44 , 292 ," 3,397 ", 65 , 83 ," 4,308 ", 38 , 264 , 76 , 41 , 88 , 17 ," 1,089 ", 84 , 39 , 55 , 11 , 44 , 143 , 12 , 159 , 95 , 34 , 13 , - ," 1,063 ", 33 , 52 
 55 , 14 , 19 , 10 , 13 , 10 , 65 , - , - , 403 ," 1,023 ", 815 , 107 ," 2,459 "," 24,143 ", 521 , 110 ," 1,537 ", 89 , - , 131 , 533 ," 3,764 ", 774 ," 17,759 ", 71 , 63 , 51 ," 11,269 "," 8,880 ", 958 , 373 ," 3,966 ", 779 , 112 , 236 , - ," 2,607 "," 2,032 ", 324 
 137 , 19 , 64 , 13 , 18 , 37 , 94 , 49 , 10 ," 2,104 "," 2,714 "," 2,462 ", 197 ," 6,026 "," 18,854 ", 676 , 128 ," 5,027 ", 102 , 242 , 340 , 518 ," 6,218 "," 1,083 "," 18,806 ", 487 ," 4,908 ", 734 ," 26,927 "," 56,375 ", 415 , 362 ," 1,300 ", 108 , 58 , 104 , - ," 3,786 ", 900 , 635 
 - , - , - , - , - , - , - , - , - , - , - , - , - ," 4,416 "," 11,895 ", 210 , 245 , 256 , 145 , 406 , 177 , 108 ," 2,602 ", 191 , 306 , 118 , 320 , 255 ," 4,432 "," 1,509 ", 148 , 133 , 498 , 587 , - , 495 , - , 955 , 811 , 389 
 - , - , - , - , - , - , - , - , - , - , - , - , - , 537 ," 1,082 ", - , - , 119 , 97 , 96 , 81 , 60 , 287 , 102 , 139 , 735 , 31 , 37 ," 3,080 ", 240 ," 2,862 ", 245 , 451 , 428 , - , 433 , - ," 1,626 "," 1,849 "," 1,505 "
 - , - , - , - , - , - , 338 , 169 , 125 , 166 , 839 , 189 , 138 ," 11,272 "," 282,289 ", 175 , 172 , 348 , 215 , 276 , 139 , 93 ," 4,015 ", 559 ," 161,532 ", 403 , 534 , 387 ," 2,345 "," 49,521 ", 886 , 394 ," 126,845 "," 5,139 "," 4,445 ", 848 , - ," 3,698 "," 2,751 ", 388 
 17 , 9 , 9 , 7 , 15 , 20 , 297 , 180 , 82 , 695 ," 1,897 ", 323 , 184 ," 16,490 "," 77,088 "," 8,013 "," 7,293 "," 18,502 ", 165 ," 2,646 "," 9,436 "," 2,128 "," 24,626 "," 8,290 "," 106,524 ", 811 , 449 , 142 ," 2,449 "," 6,777 "," 4,255 "," 3,618 "," 18,674 "," 60,898 "," 5,551 "," 1,412 ", - , 941 ," 1,738 ", 102 
 - , - , - , - , - , - , - , - , - , - , - , - , - ," 2,122 "," 5,943 ", - , - , 266 , 176 , 185 , 202 , 174 ," 1,453 ", 245 ," 78,246 ", 473 , 361 , 259 ," 1,077 "," 3,293 ", - , 319 , 336 , 701 , 557 ," 2,547 ", - , - , - , 157 
 47 , 24 , - , - , - , - , 390 , 192 , - , 666 ," 2,400 ", 206 , 95 ," 3,351 "," 25,299 ", 97 , 180 , 152 , 106 , 83 , 58 , 274 ," 2,044 ", 244 ," 17,781 ", 54 , 34 , 14 , 457 ," 1,859 ", 117 , 32 , 426 , 326 , 275 , 383 , - , 116 , 495 , 89 
 - , - , - , - , - , - , - , 13 , - , - , - , - , - , - ," 1,209,982 ", - , - , - , - , - , - , - , - , 281 , - , 534 , 271 , 108 ," 7,356 "," 3,174 ", 514 ," 1,272 "," 20,149 "," 16,494 "," 22,221 "," 10,887 ", - ," 21,045 "," 14,458 ", 461 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 32,112 ", - , - , - , - , - , - , - ," 7,747 "," 2,315 ", - , - , - , - , - , - , - , - , - ," 1,385 ", - , - , - ," 300,323 "," 1,678 ", 237 
 - , - , - , - , - , - , - , 212 , - , - , 379 , - , - ," 6,577 "," 17,233 ", 69 , 319 , 301 , 59 , 660 , 286 , 414 , 932 , 568 ," 11,122 ", - , 99 , 33 ," 6,261 "," 4,896 ", 50 , 729 ," 13,851 "," 1,021 ", 166 , 985 , - ," 12,367 "," 39,415 ", 196 
 70 , 64 , 67 , 63 , 86 , 107 , 100 , 255 , 80 ," 1,063 ", 104 , - , - ," 5,122 "," 6,308 ", 59 , 43 , 574 , 40 , 122 , 233 , 79 , 445 , 69 ," 10,298 ", 791 , 63 , 120 , 296 ," 3,918 ", 41 , 851 ," 3,500 ", 230 , 45 , 398 , - ," 2,374 "," 1,925 "," 1,193 "
