0,0,0,0,"132,255.87",0,"2,712,960.43"
"1,832,406.10",0,0,0,"265,169.83","19,042.92","9,436,620.12"
"47,665.50",0,0,0,"78,783.54",0,"2,094,561.66"
"1,609,849.18",0,0,0,"93,972.18","35,187.89","3,216,720.89"
"2,691,575.17",0,0,0,"32,135.52","178,472.33","800,977.71"
0,0,0,0,"235,938.02",0,"725,615.58"
0,0,0,0,"17,738.40",0,"643,318.38"
"1,392.84",0,0,0,680.47,54.79,"2,735.74"
"8,521,291.01",0,0,865.52,0,"23,587.09","574,579.44"
"112,851.97",0,0,0,"5,026.90","50,803.96","28,320.39"
"447,489.16",0,0,"116,431.57","142,104.65",0,"677,002.83"
0,0,0,"63,876.35","304,843.18","1,371,365.77","143,321.20"
0,0,0,"2,073.58","3,721.41","10,874.99","4,979.27"
0,0,0,"4,010.10","25,493.61","172,994.48","23,589.43"
0,0,0,"74,441.77","-1,687.05","337,195.04","120,023.04"
0,0,0,"15,066.10",0,"868,705.99","346,047.27"
0,0,0,"13,884,870.64","588,130.11",0,"6,938,170.38"
0,0,0,"12,881.46","2,478.74",0,0
0,0,0,"1,872,472.36","28,791.08",0,"63,009.22"
0,0,0,"301,562.83","17,463.95",0,"394,286.55"
0,0,0,"11,243.57",14.51,0,"2,859.36"
"409,741.38",0,0,0,"27,793.10",0,0
"4,614,919.25",0,0,0,"81,536.45",0,"132,718.34"
0,0,0,0,248.05,"4,987.10",651.1
0,0,0,0,0,0,0
0,0,0,0,"32,670.84",0,"292,626.80"
"174,026.71",0,0,0,"40,251.43",302.19,"114,768.50"
"15,226.91",0,0,0,"6,283.66","3,293.05","28,198.81"
"11,182,496.78",0,0,0,"8,032.17","43,263.21","8,078,670.33"
"13,237,920.50",0,0,0,"66,447.00","5,758,655.10","1,876,733.96"
0,0,0,0,"386,756.98","9,057,501.45","644,926.16"
0,0,0,0,0,"2,337.28",0
0,0,0,0,0,0,0
"780,615.02",0,0,0,"619,895.07","56,470.09","11,018,444.73"
"2,581,255.70",0,0,0,0,"39,655.72","59,763.93"
"12,506,603.17",0,0,0,"-60,463.07","191,143.00","1,340,239.18"
"7,416,476.33",0,0,0,"1,094,799.04","6,086,352.35","1,300,313.39"
"1,421,893.64",0,0,0,"6,251.63","441,840.00",0
"16,577,685.72",0,0,0,"990,029.35","14,476,667.70","2,548,586.67"
"13,165,643.08",0,0,0,"572,300.01","146,367.40","10,195,087.79"
"36,454,270.58",0,0,0,"193,873.63",138.24,"767,730.00"
"18,836,848.60",0,0,0,"524,690.82","509,141.46","7,763,595.84"
"38,623,351.70",0,0,0,"4,428.77","371,055.79","1,674,925.18"
"12,611,414.15",0,0,0,"111,295.51","40,114.91","3,701,433.42"
"27,828,479.00",0,0,0,"671,356.26","6,966,089.46","10,225,782.40"
"156,304.03",0,0,0,"61,031.31","44,686.40","3,288,884.75"
"7,395,952.16",0,0,0,"58,506.58","236,018.12","2,983,934.03"
"62,703,012.84",0,0,0,"875,862.91","13,624,526.17","78,983,266.33"
"616,787.29",0,0,0,"63,000.82","500,909.50","1,181,398.64"
"3,169,912.40",0,0,"836,906.65","78,038.14","2,363,227.96","746,876.52"
"3,034,721.86",0,0,0,"97,833.93","198,329.29","29,948.78"
"512,764.60",0,0,0,"356,218.55","201,607.27","978,184.36"
"2,912,909.99",0,0,0,"566,278.21","4,312,045.51","882,338.49"
"2,473,545.96",0,0,"1,736,241.00","2,247,678.31","15,251,380.58","13,656,412.00"
"15,494,365.25","343,176.41",0,0,"1,701,552.77","8,123,316.69","10,423,557.84"
"743,491.39","286,229.19",0,0,0,"685,812.30","4,055.08"
0,0,0,0,"296,439.00","6,488,760.16","204,583.30"
0,0,0,0,"254,820.95","419,550.85","8,092,728.27"
"6,398,540.10",0,0,0,"1,327,431.01","2,995,930.13","1,199,702.34"
"8,147,655.72",0,0,0,"161,333.68","9,001,379.93","731,773.62"
0,0,0,0,"244,969.42","1,006,547.59","2,339,683.51"
0,0,0,0,"996,002.45","1,668,441.78","3,269,984.77"
0,0,0,"30,253.20","146,194.29","1,168,741.59","579,451.40"
"567,634.95",0,0,"718,060.99","383,316.96","2,916,628.70","34,781,025.41"
