0.00,0.00,0.00,0.58,0.00
6694255.92,0.00,0.00,2344.00,4790508.19
0.00,0.00,224111.00,0.00,5271899.17
0.00,0.00,14092.00,0.00,75182.67
0.00,0.00,0.00,13550.89,5704613.76
26676.20,0.00,0.00,73544.53,19813855.56
1316179.49,0.00,638782.00,24309.00,208123.64
0.00,0.00,0.00,68190.99,1850200.83
1721.05,0.00,0.00,26189.81,736030.51
1833154.70,0.00,0.00,294.41,98999.85
0.00,0.00,0.00,0.00,29542557.70
0.00,0.00,0.00,0.00, 11234974.65 
0.00,0.00,0.00,603.84,93099.00
0.00,0.00,0.00,0.00,198107.36
9552452.61,0.00,0.00,94924.00,434500.94
205759.59,0.00,0.00,0.00,6618671.47
4457456.19,0.00,0.00,0.00,943539.87
28750.06,0.00,0.00,0.00,351292.82
25901.73,0.00,0.00,0.00,6472311.33
334838.00,0.00,0.00,0.00,118661.78
33952.45,0.00,0.00,-7379.32,0.00
0.00,0.00,0.00,0.65,15635.32
27459.28,0.00,340202.00,25959.00,0.00
155383.13,0.00,0.00,0.00,0.00
18070.98,0.00,22425875.46,0.00,0.00
9041715.60,437210.25,2849872.75,0.00,14899361.22
4854393.47,0.00,0.00,0.00,2817164.04
2196955.33,0.00,0.00,0.00,0.00
3698570.65,0.00,0.00,0.00,0.00
1718483.12,0.00,0.00,0.00,0.00
3895501.93,0.00,0.00,0.00,0.00
0.00,12175233.94,0.00,0.00,0.00
8228877.73,368097.58,0.00,0.00,0.00
1291171.02,499465.91,0.00,0.00,0.00
202112.03,47288.89,0.00,0.00,0.00
