SEKTOR,,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka ,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL__Aerob,Cair_IPAL_Anaerob, Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
Padi,,,,,,,,,,,,,,,
,Hotel,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,785.61,336.69,0,0,0
,Restoran ,27.17,0.00,4.69,0.00,10.78,11.24,0,0,0,1639.785,702.765,0,0,0
,Angkutan Jalan Raya ,1.33,0.00,0.00,0.00,0.00,0.00,0,0,0,1570.912,673.248,0,0,0
,Angkutan Laut ,6.32,0.00,0.00,0.00,0.00,0.00,0,0,0,238.9184,102.3936,0,0,0
,Angkutan sungai dan danau ,0.00,0.00,0.00,0.00,0.00,7.02,0,0,0,291.3792,124.8768,0,0,0
,Angkutan udara ,84.49,0.00,0.00,0.00,0.00,0.00,0,0,30488.5692,21334.9572,9153.612,0,0,0
,Jasa Penunjang Angkutan ,5.83,0.00,0.00,0.00,0.00,0.00,0,0,0,242.0096,103.7184,0,0,0
,,,,,,,,,,,,,,,
,Bank,14.78,0.00,2.74,0.00,6.02,6.29,0,0,0,1225.8176,525.3504,0,0,0
,Asuransi ,1.35,0.00,0.25,0.00,0.55,0.57,0,0,0,111.8656,47.9424,0,0,0
,Lembaga keuangan ,5.73,0.00,1.06,0.00,2.34,2.44,0,0,0,475.776,203.904,0,0,0
,Jasa persewaan ,0.00,0.00,0.00,0.00,0.00,4.30,0,0,0,178.2144,76.3776,0,0,0
,Jasa Perusahaan ,0.00,0.00,0.00,0.00,0.00,19.54,0,0,0,810.432,347.328,0,0,0
,,,,,,,,,,,,,,,
,Jasa sosial kemayarakatan ,26.40,0.00,4.89,0.00,10.75,11.24,0,0,0,2189.8688,938.5152,0,0,0
,Jasa lainnya ,6.89,0.00,1.15,0.00,2.68,2.68,0,0,0,1714.8544,734.9376,0,0,0
,Kegiatan yang tidak jelas batasannya ,0.21,0.00,0.04,0.00,0.09,0.09,0,0,0,17.4272,7.4688,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEKTOR,,,,,,,,,,,,,,,
Padi,Padi,0.00,"542,969.28",0.00,0.00,"542,969.28","637,773.44",0,0,0,751.0272,321.8688,0,0,0
Tanaman Bahan Makanan lainnya,,0.00,0.00,"52,892.82",0.00,0.00,"123,416.59",0.00,0.00,0.00,997.65,427.56,0.00,0.00,0.00
Karet,Karet,0.00,0.00,"4,102.55",0.00,0.00,"9,572.61",0,0,0,902.8992,386.9568,0,0,0
Kelapa Sawit,Kelapa sawit ,0.00,0.00,"240,707.25",0.00,0.00,"240,707.25",0,0,0,343926.66,484313.34,0,0,0
Kopi,Kopi,0.00,0.00,"1,257.17",0.00,0.00,"2,933.39",0,0,0,257.2864,110.2656,0,0,0
Tanaman Pekebunan Lainnya,,0.00,0.00,"3,131.78",0.00,0.00,"51,561.90",0.00,0.00,0.00,"11,015.82","24,685.47",0.00,0.00,0.00
Peternakan dan hasil-hasilnya,,0.00,0.00,837.02,0.00,0.00,"6,497.31",0.00,0.00,0.00,415.07,"25,379.36",0.00,0.00,0.00
Kayu,Kayu bulat ,0.00,0.00,"15,503.26",0.00,0.00,"38,894.14",0,0,0,495.7568,212.4672,0,0,0
Hasil hutan lainnya,Hasil hutan lainnya,0.00,0.00,"31,440.26",0.00,0.00,"78,876.45",0,0,0,62.8096,26.9184,0,0,0
Perikanan,,0.00,0.00,977.71,0.00,0.00,977.71,0.00,0.00,0.00,253.21,108.52,0.00,0.00,0.00
Pertambangan Migas,Pertambangan migas ,0.00,14.36,7.18,0.00,0.00,0.00,0,0,0,321766.5472,137899.9488,0,0,0
Pertambangan non-Migas,Pertambangan non migas,0.00,0.00,131.37,0.00,0.00,131.37,0,0,0,98091.46995,42039.20141,0,0,0
Penggalian,Penggalian,2.51,0.00,0.00,0.00,0.00,0.00,0,0,0,104.2048,44.6592,0,0,0
Pengilangan minyak bumi,Industri Pengilangan Migas,0.00,"28,437.83","2,303.32",0.00,0.00,"22,979.78",0,0,0,0,208080.697,0,38704.07904,0
"Industri penggilingan padi, biji-bijian","Industri Penggilingan, Padi, Biji-bijan dan Tepung",27.23,0.00,0.00,0.00,0.00,0.00,0,0,0,1129.632,484.128,0,0,0
Industri Kelapa Sawit,Indusri CPO ,0.00,"276,362.63","276,362.63",0.00,0.00,0.00,0,0,0,0,237996.99,0,0,0
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",,,,,,,,,,,,,,,
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",,0.00,"137,601.67","101,211.15","64,766.47",0.00,0.00,0.00,0.00,0.00,"1,531.89",656.52,0.00,0.00,0.00
"Industri Barang dari Karet dan Plastik, besi dan baja",,,,,,,,,,,,,,,
"Industri kertas dan barang dari kertas, mesin dan peralatan",,,,,,,,,,,,,,,
Industri pupuk dan bahan kimia,,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.77,34.62,0.00,0.00,0.00
"Industri semen, dan barang galian bukan logam",Industri Barang Mineral bukan logam ,32.32,0.00,0.00,0.00,0.00,0.00,0,0,0,1340.5952,574.5408,0,0,0
Industri Lainnya,Industri barang lainnya ,1.99,0.00,0.00,0.00,0.00,0.00,0,0,0,82.3424,35.2896,0,0,0
"Listrik, Gas dan Air Bersih",,0.00,0.02,"3,376.39",0.00,0.00,0.03,0.00,0.00,0.00,910.56,390.24,0.00,0.00,0.00
Konstruksi,Bangunan,217.87,0.00,0.00,0.00,0.00,0.00,0,0,0,9037.6832,3873.2928,0,0,0
Perdagangan Besar dan Eceran,Perdagangan,55.12,0.00,0.00,0.00,0.00,0.00,0,0,0,2286.592,979.968,0,0,0
"Transportasi ,sungai,  dan penyeberangan",,97.98,0.00,0.00,0.00,0.00,7.02,0.00,0.00,"30,488.57","23,678.18","10,157.85",0.00,0.00,0.00
Penyediaan Akomodasi dan Makan Minum,,27.17,0.00,4.69,0.00,10.78,11.24,0.00,0.00,0.00,"2,425.40","1,039.46",0.00,0.00,0.00
Informasi dan Komunikasi,Komunikasi,8.59,0.00,0.00,0.00,0.00,0.00,395.1647,0,0,276.6948,118.4699,0,0,0
Jasa Keuangan dan Asuransi,,21.86,0.00,4.05,0.00,8.91,9.31,0.00,0.00,0.00,"1,813.46",777.20,0.00,0.00,0.00
Real Estate dan Jasa Perusahaan,,0.00,0.00,0.00,0.00,0.00,23.83,0.00,0.00,0.00,988.65,423.71,0.00,0.00,0.00
Jasa Administrasi Pemerintahan,Pemerintahan Umum dan Pertahanan ,115.48,0.00,21.38,0.00,47.05,49.18,0,0,0,9580.3008,4105.8432,0,0,0
Jasa Pendidikan,,,,,,,,,,,,,,,
Jasa Kesehatan dan Kegiatan Sosial,,,,,,,,,,,,,,,
"Jasa lainnya, rekreasi & kebudayaan",,,,,,,,,,,,,,,
Kegiatan lainnya,,,,,,,,,,,,,,,
