"","","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem"
"48",10487250215,11011612725.75,11562193362.0375,12140303030.1394,12747318181.6463,13384684090.7287,14053918295.2651,14756614210.0284,15494444920.5298,16269167166.5563,17082625524.8841,17936756801.1283,18833594641.1847,19775274373.2439,20764038091.9061,21802239996.5014,22892351996.3265,24036969596.1428,25238818075.95,26500758979.7475,27825796928.7349,29217086775.1716,30677941113.9302,32211838169.6267,33822430078.108
"49",2835112553.65,2976868181.3325,3125711590.39913,3281997169.91908,3446097028.41504,3618401879.83579,3799321973.82758,3989288072.51896,4188752476.1449,4398190099.95215,4618099604.94976,4849004585.19725,5091454814.45711,5346027555.17997,5613328932.93896,5893995379.58591,6188695148.56521,6498129905.99347,6823036401.29314,7164188221.3578,7522397632.42569,7898517514.04698,8293443389.74932,8708115559.23679,9143521337.19863
"50",771788806.11,810378246.4155,850897158.736275,893442016.673089,938114117.506743,985019823.382081,1034270814.55118,1085984355.27874,1140283573.04268,1197297751.69482,1257162639.27956,1320020771.24353,1386021809.80571,1455322900.296,1528089045.3108,1604493497.57634,1684718172.45515,1768954081.07791,1857401785.13181,1950271874.3884,2047785468.10782,2150174741.51321,2257683478.58887,2370567652.51831,2489096035.14423
"51",2786789332.54,2926128799.167,3072435239.12535,3226057001.08162,3387359851.1357,3556727843.69248,3734564235.87711,3921292447.67096,4117357070.05451,4323224923.55724,4539386169.7351,4766355478.22186,5004673252.13295,5254906914.7396,5517652260.47658,5793534873.50041,6083211617.17543,6387372198.0342,6706740807.93591,7042077848.3327,7394181740.74934,7763890827.78681,8152085369.17615,8559689637.63495,8987674119.5167
"52",1060462000.49,1113485100.5145,1169159355.54023,1227617323.31724,1288998189.4831,1353448098.95725,1421120503.90512,1492176529.10037,1566785355.55539,1645124623.33316,1727380854.49982,1813749897.22481,1904437392.08605,1999659261.69035,2099642224.77487,2204624336.01361,2314855552.81429,2430598330.45501,2552128246.97776,2679734659.32665,2813721392.29298,2954407461.90763,3102127835.00301,3257234226.75316,3420095938.09082
"53",1429291658.86,1500756241.803,1575794053.89315,1654583756.58781,1737312944.4172,1824178591.63806,1915387521.21996,2011156897.28096,2111714742.14501,2217300479.25226,2328165503.21487,2444573778.37561,2566802467.2944,2695142590.65912,2829899720.19207,2971394706.20167,3119964441.51176,3275962663.58735,3439760796.76671,3611748836.60505,3792336278.4353,3981953092.35707,4181050746.97492,4390103284.32367,4609608448.53985
"54",1120272662.51,1176286295.6355,1235100610.41727,1296855640.93814,1361698422.98505,1429783344.1343,1501272511.34101,1576336136.90806,1655152943.75347,1737910590.94114,1824806120.4882,1916046426.51261,2011848747.83824,2112441185.23015,2218063244.49166,2328966406.71624,2445414727.05205,2567685463.40466,2696069736.57489,2830873223.40363,2972416884.57381,3121037728.80251,3277089615.24263,3440944096.00476,3612991300.805
"55",997557793.72,1047435683.406,1099807467.5763,1154797840.95512,1212537733.00287,1273164619.65301,1336822850.63567,1403663993.16745,1473847192.82582,1547539552.46711,1624916530.09047,1706162356.59499,1791470474.42474,1881043998.14598,1975096198.05328,2073851007.95594,2177543558.35374,2286420736.27143,2400741773.085,2520778861.73925,2646817804.82621,2779158695.06752,2918116629.8209,3064022461.31194,3217223584.37754
"56",1877109205.51,1970964665.7855,2069512899.07478,2172988544.02851,2281637971.22994,2395719869.79144,2515505863.28101,2641281156.44506,2773345214.26731,2912012474.98068,3057613098.72971,3210493753.6662,3371018441.34951,3539569363.41698,3716547831.58783,3902375223.16723,4097493984.32559,4302368683.54187,4517487117.71896,4743361473.60491,4980529547.28515,5229556024.64941,5491033825.88188,5765585517.17598,6053864793.03477
"57",4862807000,5105947350,5361244717.5,5629306953.375,5910772301.04375,6206310916.09594,6516626461.90073,6842457784.99577,7184580674.24556,7543809707.95784,7921000193.35573,8317050203.02352,8732902713.17469,9169547848.83343,9628025241.2751,10109426503.3389,10614897828.5058,11145642719.9311,11702924855.9276,12288071098.724,12902474653.6602,13547598386.3432,14224978305.6604,14936227220.9434,15683038581.9906
"58",1600017819.07,1680018710.0235,1764019645.52468,1852220627.80091,1944831659.19095,2042073242.1505,2144176904.25803,2251385749.47093,2363955036.94448,2482152788.7917,2606260428.23128,2736573449.64285,2873402122.12499,3017072228.23124,3167925839.6428,3326322131.62494,3492638238.20619,3667270150.1165,3850633657.62233,4043165340.50344,4245323607.52861,4457589787.90504,4680469277.3003,4914492741.16531,5160217378.22358
"59",1333839623.74,1400531604.927,1470558185.17335,1544086094.43202,1621290399.15362,1702354919.1113,1787472665.06686,1876846298.32021,1970688613.23622,2069223043.89803,2172684196.09293,2281318405.89758,2395384326.19246,2515153542.50208,2640911219.62718,2772956780.60854,2911604619.63897,3057184850.62092,3210044093.15196,3370546297.80956,3539073612.70004,3716027293.33504,3901828658.0018,4096920090.90189,4301766095.44698
"60",-44536370.36,-46763188.878,-49101348.3219,-51556415.737995,-54134236.5248948,-56840948.3511395,-59682995.7686965,-62667145.5571313,-65800502.8349879,-69090527.9767373,-72545054.3755741,-76172307.0943528,-79980922.4490705,-83979968.571524,-88178967.0001002,-92587915.3501052,-97217311.1176105,-102078176.673491,-107182085.507166,-112541189.782524,-118168249.27165,-124076661.735233,-130280494.821994,-136794519.563094,-143634245.541249
