ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
33,buah - buahan dan sayuran olahan dan awetan,546.8858249,0,0,0,0,95.32947097,207.2858301,0,240.6651426,0,0,0,0,0,0,0.020963749,0.192758311,0,0,3.391659087,0,0,0,0,0,0,0
34,minyak hewani dan minyak nabati,32483111.33,0,0,0,0,5662238.218,12312055.63,0,14294670.41,0,0,0,0,0,0,1245.173599,11449.17164,0,0,201452.7251,0,0,0,0,0,0,0
35,beras,1279.386583,0,0,0,0,223.0140928,484.9251852,0,563.0128637,0,0,0,0,0,0,0.049042667,0.450939457,0,0,7.934458953,0,0,0,0,0,0,0
36,kopi giling dan kupasan,91.7260903,0,0,0,0,15.98907718,34.76688901,0,40.36541376,0,0,0,0,0,0,0.003516132,0.03233027,0,0,0.568863945,0,0,0,0,0,0,0
37,biji - bijian kupasan,97.67589075,0,0,0,0,17.02620651,37.02203857,0,42.98371087,0,0,0,0,0,0,0.003744205,0.034427368,0,0,0.605763228,0,0,0,0,0,0,0
38,kopra,25.81717579,0,0,0,0,4.50027702,9.785469787,0,11.36122754,0,0,0,0,0,0,0.000989649,0.00909966,0,0,0.160112138,0,0,0,0,0,0,0
39,tepung segala macam,5840.373705,0,0,0,0,1018.054794,2213.673598,0,2570.142261,0,0,0,0,0,0,0.223878774,2.05852944,0,0,36.22064359,0,0,0,0,0,0,0
40,pakan ternak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"roti, biskuit dan sejenisnnya",19833.54825,0,0,0,0,3457.251177,7517.498765,0,8728.04432,0,0,0,0,0,0,0.760278485,6.99063879,0,0,123.0030677,0,0,0,0,0,0,0
42,gula,1186.481936,0,0,0,0,206.8195776,449.7115886,0,522.1288089,0,0,0,0,0,0,0.045481357,0.418193787,0,0,7.358285875,0,0,0,0,0,0,0
43,coklat dan kembang gula,267.7410203,0,0,0,0,46.67081987,101.4817301,0,117.8233699,0,0,0,0,0,0,0.010263304,0.094369436,0,0,1.660467731,0,0,0,0,0,0,0
44,"mie, makaroni, dan sejenisnnya",119466.5763,0,0,0,0,20824.61274,45281.34998,0,52573.02221,0,0,0,0,0,0,4.579506724,42.10783022,0,0,740.904007,0,0,0,0,0,0,0
45,the olahan,442.9447844,0,0,0,0,77.21116556,167.8891154,0,194.9243605,0,0,0,0,0,0,0.016979382,0.156122694,0,0,2.747040854,0,0,0,0,0,0,0
46,hasil pengolahan kedele,12359.5294,0,0,0,0,2154.430314,4684.625558,0,5438.992512,0,0,0,0,0,0,0.473777267,4.356306022,0,0,76.65093573,0,0,0,0,0,0,0
47,makanan lainnya,143734.2812,0,0,0,0,25054.79639,54479.5247,0,63252.38234,0,0,0,0,0,0,5.509759532,50.66135567,0,0,891.4066866,0,0,0,0,0,0,0
48,minuman beralkohol,280.7990491,0,0,0,0,48.94700792,106.4311075,0,123.5697473,0,0,0,0,0,0,0.010763857,0.098971939,0,0,1.741450598,0,0,0,0,0,0,0
49,minuman tak beralkohol,113938.8553,0,0,0,0,19861.05748,43186.18099,0,50140.46739,0,0,0,0,0,0,4.367612854,40.15950005,0,0,706.6223634,0,0,0,0,0,0,0
50,tembakau olahan,71.65321803,0,0,0,0,12.49010864,27.15867939,0,31.53205139,0,0,0,0,0,0,0.002746679,0.025255278,0,0,0.444376645,0,0,0,0,0,0,0
51,rokok,41819.64664,0,0,0,0,7289.720466,15850.87741,0,18403.34996,0,0,0,0,0,0,1.603070574,14.73997695,0,0,259.3557523,0,0,0,0,0,0,0
52,benang,6822.810029,0,0,0,0,1189.306508,2586.045892,0,3002.4778,0,0,0,0,0,0,0.26153846,2.404804216,0,0,42.31348589,0,0,0,0,0,0,0
53,tekstil jadi kecuali pakaian,389.5250812,0,0,0,0,67.89940099,147.641475,0,171.4162352,0,0,0,0,0,0,0.014931647,0.137294099,0,0,2.41574424,0,0,0,0,0,0,0
54,"permadani tali, dan tekstil lainny",2685.624019,0,0,0,0,468.1399761,1017.930579,0,1181.84831,0,0,0,0,0,0,0.102947901,0.946589446,0,0,16.65561749,0,0,0,0,0,0,0
55,kapuk bersih,327.9750894,0,0,0,0,57.17041902,124.3122158,0,144.330257,0,0,0,0,0,0,0.012572254,0.115599859,0,0,2.034025461,0,0,0,0,0,0,0
56,pakaian jadi,41147.43931,0,0,0,0,7172.545791,15596.09104,0,18107.53525,0,0,0,0,0,0,1.577302882,14.50304715,0,0,255.1868783,0,0,0,0,0,0,0
57,Kulit samakan dan olahan,374.3990238,0,0,0,0,65.26272806,141.9082538,0,164.7597914,0,0,0,0,0,0,0.01435182,0.131962688,0,0,2.321935939,0,0,0,0,0,0,0
58,alas kaki,53.29189447,0,0,0,0,9.289485804,20.19919713,0,23.45188118,0,0,0,0,0,0,0.002042836,0.018783547,0,0,0.330503973,0,0,0,0,0,0,0
