Year,Pertanian
2010,1273305.016
2011,1501049.455
2012,1654054.884
2013,1795800.161
2014,1975285.973
2015,3457327.941
2016,3285415.346
2017,3613074.762
2018,4037629.551
2019,5024506.918
2020,5998882.178
2021,6854700.818
2022,7647077.919
2023,8315557.713
2024,9028136.176
2025,9786422.77
2026,10171125.28
2027,10724435.39
2028,11299571.55
2029,11897170.86
2030,12517885.22
2031,14517885.22
2032,16517885.22
2033,18517885.22
2034,19517885.22
2035,20517885.22
