y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
2744958.57,2882206.50,3026316.82,3177632.67,3336514.30,3503340.01,3678507.01,3862432.36,4055553.98,4258331.68,4471248.27,4694810.68,4929551.21,5176028.77,5434830.21,5706571.72
142101898.74,149206993.67,156667343.36,164500710.53,172725746.05,181362033.36,190430135.02,199951641.77,209949223.86,220446685.06,231469019.31,243042470.27,255194593.79,267954323.48,281352039.65,295419641.63
637673.25,669556.91,703034.75,738186.49,775095.82,813850.61,854543.14,897270.29,942133.81,989240.50,1038702.52,1090637.65,1145169.53,1202428.01,1262549.41,1325676.88
2759.93,2897.93,3042.82,3194.96,3354.71,3522.45,3698.57,3883.50,4077.67,4281.56,4495.64,4720.42,4956.44,5204.26,5464.47,5737.70
24375798.36,25594588.28,26874317.70,28218033.58,29628935.26,31110382.02,32665901.12,34299196.18,36014155.99,37814863.79,39705606.98,41690887.33,43775431.69,45964203.28,48262413.44,50675534.11
5581616.52,5860697.35,6153732.22,6461418.83,6784489.77,7123714.26,7479899.97,7853894.97,8246589.72,8658919.20,9091865.17,9546458.42,10023781.34,10524970.41,11051218.93,11603779.88
10487757.47,11012145.34,11562752.61,12140890.24,12747934.75,13385331.49,14054598.06,14757327.96,15495194.36,16269954.08,17083451.78,17937624.37,18834505.59,19776230.87,20765042.41,21803294.53
65617528.00,68898404.40,72343324.62,75960490.85,79758515.39,83746441.16,87933763.22,92330451.38,96946973.95,101794322.65,106884038.78,112228240.72,117839652.75,123731635.39,129918217.16,136414128.02
62809505.72,65949981.01,69247480.06,72709854.06,76345346.76,80162614.10,84170744.81,88379282.05,92798246.15,97438158.46,102310066.38,107425569.70,112796848.18,118436690.59,124358525.12,130576451.38
37359451.75,39227424.34,41188795.55,43248235.33,45410647.10,47681179.45,50065238.43,52568500.35,55196925.37,57956771.63,60854610.22,63897340.73,67092207.76,70446818.15,73969159.06,77667617.01
4837446.25,5079318.56,5333284.49,5599948.71,5879946.15,6173943.45,6482640.62,6806772.66,7147111.29,7504466.85,7879690.20,8273674.71,8687358.44,9121726.36,9577812.68,10056703.32
7152569.56,7510198.03,7885707.94,8279993.33,8693993.00,9128692.65,9585127.28,10064383.65,10567602.83,11095982.97,11650782.12,12233321.22,12844987.28,13487236.65,14161598.48,14869678.41
852374.91,894993.66,939743.34,986730.51,1036067.03,1087870.38,1142263.90,1199377.10,1259345.95,1322313.25,1388428.91,1457850.36,1530742.88,1607280.02,1687644.02,1772026.22
19127223.08,20083584.24,21087763.45,22142151.62,23249259.20,24411722.16,25632308.27,26913923.68,28259619.87,29672600.86,31156230.90,32714042.45,34349744.57,36067231.80,37870593.39,39764123.06
9939815.80,10436806.59,10958646.92,11506579.27,12081908.23,12686003.64,13320303.82,13986319.02,14685634.97,15419916.71,16190912.55,17000458.18,17850481.09,18743005.14,19680155.40,20664163.17
58870931.87,61814478.47,64905202.39,68150462.51,71557985.63,75135884.91,78892679.16,82837313.12,86979178.77,91328137.71,95894544.60,100689271.83,105723735.42,111009922.19,116560418.30,122388439.22
66781904.54,70120999.76,73627049.75,77308402.24,81173822.35,85232513.47,89494139.14,93968846.10,98667288.40,103600652.82,108780685.46,114219719.74,119930705.72,125927241.01,132223603.06,138834783.21
23733682.07,24920366.17,26166384.48,27474703.70,28848438.89,30290860.83,31805403.87,33395674.07,35065457.77,36818730.66,38659667.19,40592650.55,42622283.08,44753397.23,46991067.09,49340620.45
48430665.62,50852198.90,53394808.84,56064549.29,58867776.75,61811165.59,64901723.87,68146810.06,71554150.56,75131858.09,78888451.00,82832873.55,86974517.22,91323243.08,95889405.24,100683875.50
28099.97,29504.97,30980.22,32529.23,34155.69,35863.47,37656.65,39539.48,41516.45,43592.28,45771.89,48060.48,50463.51,52986.68,55636.02,58417.82
