Value,Count,
1,,Hutan lahan kering primer
2,177537,
3,3398,
4,19262,
5,9163,
6,51421,
7,1311,
8,31630,
9,198927,
10,27067,
11,,Savanna / Padang rumput
12,71571,
13,122630,
14,281,
15,509,
16,38475,
17,,Transmigrasi
18,33330,
19,13118,
20,5560,
21,7747,
22,,Awan
23,1215,
