Value,Count,
1,605,
2,117402,
3,592,
4,44764,
5,33245,
6,32834,
7,,hutan tanaman
8,192204,
9,295765,
10,58046,
11,7089,
12,58116,
13,557613,
14,1768,
15,629,
16,33131,
17,2420,
18,74614,
19,144185,
20,4414,
21,9012,
22,,awan
23,148,
