Value,Count,
1,313180,
2,281022,
3,2241,
4,53343,
5,76006,
6,88625,
7,311194,
8,1407897,
9,412172,
10,908675,
11,83079,
12,534149,
13,2750017,
14,482603,
15,54763,
16,173580,
17,55953,
18,487603,
19,33210,
20,71737,
21,101589,
22,0,Awan
23,480,
