Value,Count,
1,467140,
2,209400,
3,,Hutan rawa primer
4,,Hutan rawa sekunder
5,694,
6,1158,
7,5040,
8,206508,
9,175672,
10,2838,
11,510,
12,42423,
13,794061,
14,57644,
15,506,
16,29116,
17,,Transmigrasi
18,9407,
19,3629,
20,6270,
21,157,
22,,Awan
23,159,
