Value,Count,
1,1964450,
2,981767,
3,10796,
4,88263,
5,0,Hutan mangrove primer
6,26378,
7,53937,
8,588119,
9,571920,
10,89785,
11,104439,
12,156230,
13,542586,
14,241051,
15,69814,
16,141084,
17,2232,
18,31787,
19,232,
20,36222,
21,1903,
22,0,Awan
23,837,
