Value,Count,
1,564673,
2,1286344,
3,1424,
4,35038,
5,12557,
6,2352,
7,18124,
8,433590,
9,281688,
10,20342,
11,0,Savanna / Padang rumput
12,481909,
13,715893,
14,233814,
15,23,
16,39894,
17,755,
18,65572,
19,2349,
20,32143,
21,953,
22,0,Awan
23,670,
