2017,2023,2028,2034,2037
580031,580031,580031,580031,580031
959963,959963,959963,959963,959963
560,560,560,560,560
61744,61744,61744,61744,61744
1432,1432,1432,1432,1432
35958,35958,35958,35958,35958
132308,132308,132308,132308,132308
1434344,1434344,1434344,1434344,1434344
617769,617769,617769,617769,617769
50457,50457,50457,50457,50457
0,0,0,0,0
2230945,2231045,2231095,2231095,2231095
328385,328385,328385,328385,328385
295551,295551,295551,295551,295551
29632,29542,29502,29542,29542
81621,81621,81621,81571,81571
1012,1002,992,1002,1002
253052,253052,253052,253052,253052
2,2,2,2,2
144316,144316,144316,144316,144316
7972,7972,7972,7972,7972
0,0,0,0,0
1014,1014,1014,1014,1014
