3715,0,6913,0,937,0,0,3102,0,0,0,0,0,0,0,0,0,0,0,0,193947,0,0,0,0,0,0,0,0,0,0,0
0,337,0,0,0,0,0,870,0,191521,0,0,0,0,0,0,0,0,0,0,16029,0,0,0,0,0,0,0,377,0,0,0
7392,243,3484,0,142,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,158164,0,0,0,0,0,0,0,3317,0,0,0
640,21,6631,98,1949,0,0,604,0,0,0,0,0,0,84624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7697,0,0,1454,0,0,0,0,0,0,0,0,0,0,0,0,70526,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42576,0,0,207118,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,739356,1,347,0,0,26299,0,0,0,0,0,0,0,0,0,0,0,0,3618,0,0,0,0,0,0,0,440602,2449,0,0
0,0,0,0,0,0,0,0,251635,0,0,0,0,0,203225,21685,0,0,0,0,0,0,0,0,0,0,0,0,44789,0,0,0
4,71,136,3,600,0,0,0,82830,1520209,49786,420303,149126,102055,675488,10812,0,0,0,0,29,1472,2721,9042,0,0,0,0,30102,0,0,0
0,0,0,0,0,693432,51470,0,0,0,86141,256843,0,596290,387551,19194,0,0,2858210,2174,33843,0,169,3612,29099,0,0,0,0,0,0,52494
0,0,0,0,0,0,0,0,0,0,0,796847,0,181131,0,0,0,0,0,1444,0,0,0,0,0,352,0,0,0,2574,354,0
0,0,0,0,0,0,264,0,13262,72617,0,0,1005521,61729,0,19175,1437,168,0,67959,8569,0,0,0,1718,2797,19960,1013,514309,4335,1559,0
0,0,0,0,0,0,0,0,0,0,0,0,0,186374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,92754,0,39776,4061919,7481,0,0,133808,0,0,0,0,0,0,0,0,0,0,0,0,35017
19720,3466,44999,2896,32106,144853,134118,22327,178968,914270,28411,271415,257568,383948,670824,443076,89673,6294,409830,309899,442347,185655,191936,486413,126029,15024,84372,49337,552572,18482,4028,22334
0,0,0,0,0,21359,14593,1232,1918,14647,2297,809,94738,26846,54223,6923,21321,154,1312,17979,7094,88,941,3812,464,3731,407,12948,202,2271,1482,5137
531,7,92,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,8422,0,0,0,386,0,0,0,92,2,238,239
232,27,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,141,30467,95,1562,26826,5838,2033,16742,92157,5342,62226,57868,52104,194978,18655,5242,203,119406,12783,37566,5821,6064,15543,4931,604,3512,1579,59506,953,207,3490
0,0,0,0,0,1154,0,56,1501,2142,226,855,5150,3184,3541,388,536,155,0,2975,0,0,0,8078,4821,0,210712,7352,9431,2946,303729,0
1924,1557,12838,564,0,51253,0,1236,26486,54174,10053,35155,48128,71989,254481,8545,0,8,0,11831,0,0,0,0,156959,554,5639,344,1,85,305,5644
0,0,0,0,17583,28830,0,695,14898,30473,5655,19775,27072,40494,143145,4807,0,9,0,2958,0,0,0,0,1714,21507,68118,20861,130,0,0,0
0,0,0,0,0,259470,0,6259,134085,274256,50892,177971,243647,364446,1288308,43259,0,294,0,5498,0,0,0,6719,26160,0,5751,31292,7264,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27041,40971,23582,1744,0,0,0,0,0,0,0
0,0,0,0,0,961,67,23,497,1016,188,66,902,1350,4772,160,267,45,3639,1111,367,1108,1626,557,327,618,328,2774,53248,510,440,677
1626,74,282,0,1241,6508,0,2825,1057,12986,1277,12391,3377,31079,21918,48290,1730,756,157859,81992,12914,36232,50696,76153,8910,0,1965665,0,0,0,0,0
3730,742,1364,197,5583,19130,2051,86,18515,71445,3752,45071,85850,22076,81681,3258,33122,945,315930,26147,657715,28645,40343,83900,4764,2732,112505,35187,0,0,7330,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10,0,0,46,0,0,0,8,0,468,0,842,250,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44913,0,0,0,89,0,7554,0,0,0,33594,0
570,2149,9087,867,3893,10887,466,1,1638,7628,2135,23950,3684,184050,3120,178,3050,91,10894,156522,116137,33971,63378,574,20032,1767,61302,28116,0,425,1649,15953
