 2897 , 0 , 0 , 0 , 0 , 0 
 23662 , 0 , 0 , 0 , 0 , 0 
 0 , 0 , 0 , 0 , 0 , 0 
 552220 , 0 , 0 , 0 , 0 , 0 
 0 , 0 , 0 , 0 , 0 , 0 
 74500 , 0 , 3 , 0 , 0 , 0 
 0 , 0 , 0 , 0 , 0 , 6221 
 0 , 0 , 0 , 0 , 0 , 0 
 300754 , 0 , 0 , 0 , 0 , 618253 
 0 , 0 , 0 , 0 , 0 , 4084720 
 0 , 0 , 0 , 0 , 0 , 0 
 146042 , 0 , 0 , 0 , 4593 , 0 
 32258 , 0 , 0 , 0 , 4571 , 0 
 285303 , 0 , 0 , 456 , 997417 , 332060 
 1947609 , 0 , 0 , 3076 , 3852409 , 11905264 
 976777 , 0 , 0 , 973 , 60019 , 510576 
 4574478 , 0 , 0 , 5129 , 607269 , 5642174 
 1227695 , 0 , 0 , 2059 , 1565979 , 713354 
 1085668 , 0 , 0 , 4725 , 228267 , 57831 
 1039001 , 0 , 0 , 0 , 42554 , 646822 
 423094 , 0 , 0 , 23 , 623353 , 158258 
 0 , 0 , 0 , 0 , 0 , 0 
 434787 , 0 , 131 , 83 , 1005403 , 4026348 
 3117703 , 0 , 0 , 574125 , 10951651 , 4627118 
 442205 , 0 , 0 , 186 , 513664 , 127866 
 23819 , 0 , 0 , 16 , 457098 , 112688 
 111258 , 0 , 0 , 2662 , 321550 , 1552154 
 630557 , 0 , 0 , 52527 , 0 , 2909735 
 2351201 , 0 , 0 , 604 , 6126168 , 22625329 
 3300994 , 0 , 0 , 24955 , 1058487 , 14317372 
 127712 , 0 , 0 , 799 , 2468450 , 6049068 
 29496 , 0 , 0 , 2572 , 1124588 , 1361411 
 166692 , 0 , 0 , 907 , 11419289 , 6902129 
 309870 , 0 , 486237 , 54017 , 1505966 , 11916927 
 118147 , 0 , 51404 , 663 , 1454749 , 0 
 924831 , 0 , 0 , 27131 , 4348266 , 3046602 
 0 , 0 , 427138 , 3628 , 3521544 , 0 
 30251740 , 0 , 26370358 , 633361 , 26818937 , 92173799 
 1161615 , 0 , 14056 , 251 , 611629 , 4264585 
 946965 , 0 , 199424 , 2184 , 1478455 , 2133383 
 0 , 0 , 0 , 2 , 0 , 0 
 3402684 , 0 , 0 , 0 , 0 , 0 
 3167981 , 0 , 0 , 0 , 0 , 0 
 302485 , 0 , 0 , 0 , 256835 , 0 
 0 , 0 , 156434325 , 0 , 1374832 , 2927705 
 0 , 0 , 205019085 , 0 , 0 , 11521298 
 0 , 0 , 96511814 , 0 , 2062247 , 7090707 
 11074184 , 0 , 3831765 , 196926 , 3225446 , 22793855 
 78398199 , 0 , 33055229 , 1698809 , 29086483 , 73837069 
 524842 , 0 , 9132 , 469 , 10186 , 63720 
 8095445 , 0 , 976058 , 50163 , 4906451 , 8463061 
 291501 , 0 , 95741 , 4920 , 7378925 , 10172869 
 21700 , 0 , 914 , 47 ,06108 , 87226 
 3521 , 0 , 149 , 8 , 178687 , 450096 
 194693 , 0 , 26693 , 1372 , 20591096 , 4931675 
 492509 , 0 , 0 , 0 , 13942468 , 1810020 
 100959403 , 0 , 0 , 0 , 16683978 , 51126707 
 86291 , 0 , 485292 , 0 , 1590404 , 24094937 
 31628270 , 0 , 0 , 0 , 15465964 , 10803686 
 9943492 , 0 , 0 , 0 , 4530936 , 46942096 
 1440445 , 0 , 0 , 0 , 10530936 , 24313656 
 1276274 , 0 , 0 , 0 , 0 , 15021622 
 826120 , 0 , 0 , 0 , 0 , 4035737 
 84448680 , 0 , 0 , 0 , 2930839 , 15731838 
 12482940 , 0 , 3077809 , 0 , 7500219 , 35755858 
 2802110 , 134825029 , 0 , 0 , 4001717 , 12541675 
 27831556 , 29639652 , 0 , 0 , 1193688 , 44972900 
 18709090 , 9643773 , 0 , 0 , 0 , 6219739 
 15484526 , 0 , 5617467 , 0 , 4449061 , 2530140 
 236973 , 0 , 0 , 0 , 0 , 949061 
 17615906 , 0 , 6200573 , 0 , 2158722 , 12409482 
 852339 , 0 , 0 , 0 , 0 , 1895154 
