-	-	-	830.745	-
202.549	-	-	763.161	34.21
550.936	-	-	-144.543	115.706
606.693	-	-	-208.404	122.829
253.713	-	-	-43.505	-
288.893	-	-	-78.382	24.983
1.290.869	-	-	-424.465	311.093
66.637	-	-	10.768	188
552.661	-	-	193.098	7.02
319.988	-	-	-60.627	904
597.444	-	-	-117.511	1.698
136.521	-	-	29.292	336
401.418	-	-	78.502	988
219.921	-	-	-96.601	18.702
-	-	-	610	26.104
-	-	-	119.239	20.539
187.082	-	-	-44.319	2.988
187.735	-	-	-43.114	2.999
1.406.024	-	50.938	-325.27	25.335
264.816	-	8.171	-77.155	4.064
243.635	-	9.741	-93.536	18.571
2.431	-	-	-2.448	289
113.269	-	-	-109.993	16.905
99.187	-	-	-95.218	12.892
40.997	-	-	-22.608	1.487
133.159	-	-	88.711	36.784
537.433	-	-	-323.753	31.61
26.832	-	-	7.399	-
1.279.535	-	-	-384.744	-
-	-	-	85.699	10.075.219
358.388	-	-	67.968	716
4.734.060	-	-	(1.277.388)	124.175
142.026	-	-	563.078	278.741
182.745	-	3.327	-48.575	145
140.983	-	45.981	-285.636	5.644
13.36	-	-	-73.411	-
50.71	-	-	-68.998	-
-	-	-	-	-
1.07	-	1.147	114.65	837
-1.309	-	-	-399	-303
61.414	-	969.714	-488.775	997
579.712	-	-	-	-
30.458	-	-	-	-
-	-	6.877.864	-	-
637.967	-	913.056	-	44.857
5.247.774	-	3.254.622	-	215.451
1.033.641	-	-	-	46.218
50.579	-	-	-	42.275
76.146	-	-	-	25.351
123.046	-	9.431	-	6.204
870.355	-	116.409	-	107.564
8.116	-	2.901	-	4.872
270.38	-	11.032	-	21.971
180.329	-	301	-	76.17
61.487	-	5.968	-	6.751
67.104	-	-	-	16.267
814.002	-	-	-	4.014
29.841	-	-	-	186
192.819	-	-	-	655
1.326.413	-	-	-	-
15.52	-	-	-	-
60.243	11.148.151	-	-	-
370.073	-	-	-	9.462
190.403	-	-	-	3.736
146.863	-	58.547	-	5.854
-	-	-	-	-
